S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,"27,120",Yes,percentage,1.0%,Nil,Nil,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,PWD Road to Tarimi (Missing Link ) Road,PWD Road to Tarimi (Missing Link ) Road,Please refer Tender documents. ,NA ,"27,12,000",Civil Works - Roads,NA ,Tender,90.0,60.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,14-Oct-2025 05:55 PM,22-Oct-2025 11:00 AM,14-Oct-2025 05:55 PM,20-Oct-2025 05:00 PM,NA ,NA ,14-Oct-2025 05:55 PM,20-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 13/2025-26,2025_CERWI_119404_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,18-Dec-2025 11:07 AM,techsummary_555959.pdf (1148.30 KB),SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,18-Dec-2025 11:20 AM,finsummary_555959.pdf (1148.30 KB),Finance,12 NOS OF BIDDER ARE PARTICIPATED.,Shrabani Routray,23-Oct-2025 05:02 PM,,BOQ Comparative Chart,1.0,3137084.0,SAIPRAKASH PRUSTY,INR,"2,305,237",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119404_35,Tender Online Divn. BBSR - 13/2025-26,PWD Road to Tarimi (Missing Link ) Road,1,3138407,ABINASH PRASAD BEHERA,20-Oct-2025 03:32 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,18-Dec-2025,"INR 2,305,237",60.0,Nirmal Chandra Jena,18-Dec-2025 11:24 AM,tarimi.pdf (1148.00 KB),AoC,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3136108,ALOK KUMAR MOHAPATRA,19-Oct-2025 03:56 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3137954,CHANDAN KUMAR PAIKARAY,20-Oct-2025 01:30 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3134272,HITU PRADHAN,18-Oct-2025 01:09 PM,Rejected-Technical,Quoted rate,18-Dec-2025 11:07 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3131474,HRUSHIKESH BISWAL,16-Oct-2025 05:47 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3131234,JAGABANDHU BISWAL,16-Oct-2025 03:32 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3138229,M/S MRINAL TRADING AGENCIES,20-Oct-2025 02:34 PM,Rejected-Technical,Quoted rate,18-Dec-2025 11:07 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3134870,PRANAYA PRATIK PATTANAIK,19-Oct-2025 11:24 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3138153,PRAPHUL BEHERA,20-Oct-2025 02:43 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3136413,PRATAP ROUT,19-Oct-2025 06:53 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3138274,PRITISH KUMAR NAYAK,20-Oct-2025 02:40 PM,Rejected-Finance,Not success In lottery,18-Dec-2025 11:20 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3137084,SAIPRAKASH PRUSTY,20-Oct-2025 06:44 AM,Accepted-AOC,L1 Bidder,18-Dec-2025 11:25 AM,,,,,,,,AOC
