Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
12-Dec-2025,"INR 1,729,030",60.0,Lambodar Naik,12-Dec-2025 12:47 PM,6110.pdf (392.00 KB),1.0,3202747.0,M/S NISHANK CONSTRUCTION,INR,"1,729,030",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_120099_11,SE/BDK-II/TCN-10/2025-26,S/R to T1 to mahura for the year 2025-26 in the District of Bhadrak,1,3204975,Bidyadhar Sahoo,10-Nov-2025 09:14 AM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,Finance,total 18 bidders accepted,Lambodar Naik,12-Dec-2025 12:31 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Lambodar Naik,12-Dec-2025 12:43 PM,finsummary_558385.pdf (413.73 KB),Executive Engineer,Internal,,Lambodar Naik,12-Dec-2025 12:38 PM,techsummary_558385.pdf (278.96 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",S/R to T1 to mahura for the year 2025-26 in the District of Bhadrak,S/R to T1 to mahura for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"20,34,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,"20,340",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,27-Oct-2025 04:00 PM,11-Nov-2025 11:00 AM,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,27-Oct-2025 04:00 PM ,10-Nov-2025 03:00 PM ,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2025-26,2025_CERWI_120099_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3194975,DAMAYANTI ROUT,07-Nov-2025 07:42 PM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3199969,MADHUSMITA BEHERA,09-Nov-2025 02:03 PM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3205945,MONALISA SAHOO,10-Nov-2025 12:02 PM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3207425,M/S ANITA CONSTRUCTION,10-Nov-2025 02:33 PM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3195126,M/S H AND S PROPERTY MANAGEMENT SERVICES,10-Nov-2025 12:03 PM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3202747,M/S NISHANK CONSTRUCTION,09-Nov-2025 06:21 PM,Accepted-AOC,selected through transparent lottery system,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3171742,PRADEEP KUMAR PATRA,04-Nov-2025 07:29 AM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3206118,PRASANTA KUMAR ROUT,10-Nov-2025 12:57 PM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3196991,PRATIK KUMAR DAS,08-Nov-2025 01:18 PM,Rejected-AOC,rejected,12-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
