Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online-EERKL-09 of 2025-26,2025_CERWI_119936_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"5,590",Yes,fixed,,Nil,Nil,S/R to MDR-26 to Bhadratola road for the year 2025-26,S/R to MDR-26 to Bhadratola road for the year 2025-26,Please refer Tender documents. ,NA ,"5,59,104",Civil Works - Roads,NA ,Tender,90.0,30.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,23-Oct-2025 05:00 PM,31-Oct-2025 09:00 AM,23-Oct-2025 05:00 PM,30-Oct-2025 05:00 PM,23-Oct-2025 05:00 PM ,30-Oct-2025 05:00 PM ,23-Oct-2025 05:00 PM,30-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN Card, GSTN, Registration Certificate and other documents as per DTCN.","Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourk","4,000",0.0,Nil,Nil,No,AOC,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_119936_5,Online-EERKL-09 of 2025-26,S/R to MDR-26 to Bhadratola road for the year 2025-26,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,24-Dec-2025 12:44 PM,finsummary_557719.pdf (252.99 KB),Finance,2 bidders applied,Dasharathi Sethy,24-Dec-2025 12:40 PM,,BOQ Comparative Chart,1.0,3167993.0,Manoj Gadhei,INR,"475,294",24-Dec-2025,"INR 475,294",30.0,Dasharathi Sethy,24-Dec-2025 12:50 PM,11.pdf (253.00 KB),Awarded Cost,1,3167993,Manoj Gadhei,30-Oct-2025 03:09 PM,Accepted-AOC,Awarded,24-Dec-2025 12:50 PM,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,24-Dec-2025 12:42 PM,techsummary_557719.pdf (252.99 KB),AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3167970,PIRU CHARAN MURMU,30-Oct-2025 02:49 PM,Rejected-AOC,Rejected by the Committee,24-Dec-2025 12:50 PM,,,,,,,AOC
