Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Finance,13 nos of Bidders.,Subhrata Meher,15-Nov-2025 11:57 AM,finance_558579.pdf,BOQ Comparative Chart,17-Dec-2025,"INR 428,435",60.0,Subhrata Meher,17-Dec-2025 06:16 PM,AOC.pdf (479.00 KB),Work awarded in regular lottery system,1.0,3171188.0,Anusaya Mendili,INR,"428,435",CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,2025_CERWI_120114_32,BI No.Tender Online SNPR-06 of 2025-26.,S/R to L035-PWD road Kelgaon from ch. 1/000 to 1/700 km.,1,3183855,Alok Kumar Dehuri,06-Nov-2025 11:44 PM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,Er Subhrata Meher,Internal,,Subhrata Meher,17-Dec-2025 06:11 PM,techsummary_558579.pdf (329.56 KB),Er Subhrata Meher,Internal,,Subhrata Meher,17-Dec-2025 06:14 PM,finsummary_558579.pdf (329.56 KB),AOC,S/R to L035-PWD road Kelgaon from ch. 1/000 to 1/700 km.,Civil S/R Roads works,Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the S E, R.W. Division, Sonepur",No ,No,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,BI No.Tender Online SNPR-06 of 2025-26.,2025_CERWI_120114_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CERTIFICATE VALID CONTRACT LICENCE AFFIDAVIT AS PER DTCN ETC,29-Oct-2025 05:00 PM,10-Nov-2025 11:00 AM,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,29-Oct-2025 05:00 PM ,06-Nov-2025 04:00 PM ,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,"5,040",Yes,fixed,,Nil,Nil,"Executive Engineer, R W Div., Sonepur","O/o the S E, R.W. Division, Sonepur",AOC
,,,,,,,,,,,,,,,,,,,,,,2,3171188,Anusaya Mendili,04-Nov-2025 03:11 PM,Accepted-AOC,Work awarded in regular lottery system,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity (BOQ),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3188709,DURGESH PANDA,07-Nov-2025 03:03 PM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3182107,GAJENDRA PADHAN,04-Nov-2025 07:28 PM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3188732,KALYANI NANDA,06-Nov-2025 02:14 PM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3192178,KOMAL AGRAWALA,07-Nov-2025 09:12 AM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3193912,Nalini Meher,07-Nov-2025 02:41 PM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3180260,PAPUN KUMAR DAS,07-Nov-2025 12:23 AM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3187337,Pranabandhu Dash,06-Nov-2025 09:28 AM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3190195,PRAYAS KUMAR SAHU,06-Nov-2025 04:55 PM,Rejected-AOC,Rejected,17-Dec-2025 06:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
