Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,14 nos. of bidders have quoted same rate and accepted.,Ansuman Parida,23-Oct-2025 12:43 PM,,BOQ Comparative Chart,1.0,3120700.0,SRI SUKANTA KUMAR MOHAPATRA,INR,"254,235",Municipal Bodies||Nilgiri NAC,2025_ORULB_118659_4,NLGN _07/2025-26,"Repair of road from Mangala Mandir to Purna Ch. Rana house, W.No.6","Chairman, Nilgiri NAC",Internal,,Ansuman Parida,03-Dec-2025 02:10 PM,finsummary_554037.pdf (380.89 KB),"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,24-Oct-2025 01:52 PM,techsummary_554037.pdf (380.89 KB),03-Dec-2025,"INR 254,235",30.0,Ansuman Parida,03-Dec-2025 02:14 PM,WO11.pdf (325.00 KB),1,3114788,ASHOK KUMAR MOHAPATRA,07-Oct-2025 07:29 PM,Rejected-AOC,L5,03-Dec-2025 02:15 PM,AOC,Municipal Bodies||Nilgiri NAC,NLGN _07/2025-26,2025_ORULB_118659_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Repair of road from Mangala Mandir to Purna Ch. Rana house, W.No.6","Repair of road from Mangala Mandir to Purna Ch. Rana house, W.No.6",Please refer Tender documents. ,NA ,"2,54,237",Civil Works - Roads,NA ,Tender,120.0,NA ,DTCN,756040.0,NA ,NA ,NA ,O/O Nilgiri NAC,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN and as per DTCN",1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,"Executive Officer, Nilgiri NAC","Nilgiri NAC, Nilgiri, Dist-Balasore, 756040","2,542",Yes,percentage,1.0%,Nil,Nil,26-Sep-2025 10:00 AM,14-Oct-2025 11:00 AM,26-Sep-2025 10:00 AM,13-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 10:00 AM,13-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3124941,GAYADHARA BEHERA,13-Oct-2025 08:16 AM,Rejected-AOC,L11,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3124729,HARISH CHANDRA RAY,13-Oct-2025 03:37 PM,Rejected-AOC,L10,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3120367,KOUSALYA MISHRA,10-Oct-2025 04:01 PM,Rejected-AOC,L6,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3125929,KRUTIBASH NANDA,13-Oct-2025 02:40 PM,Rejected-AOC,L14,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3122936,NALINIKANTA MOHANTY,11-Oct-2025 08:33 AM,Rejected-AOC,L9,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3122866,NILAMBAR MOHAPATRA,10-Oct-2025 09:38 PM,Rejected-AOC,L8,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3125245,PARTHASARATHI NAYAK,13-Oct-2025 11:37 AM,Rejected-AOC,L2,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3125174,RABINDRA NATH PARIDA,13-Oct-2025 01:02 PM,Rejected-AOC,L12,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3112309,RAMAKRUSHNA MOHAPATRA,06-Oct-2025 04:58 PM,Rejected-AOC,L3,03-Dec-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
