EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"13,200",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,20-Sep-2025 11:00 AM,04-Oct-2025 11:00 AM,20-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,NA ,NA ,20-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, GST Registration Certificate, GSTIN, PAN and Contractor RC, No Relation Certificate, etc.",Providing Trough from RD 11.735 Km to 11.792 Km including slope protection of Bagdary Distributary.,CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"13,13,649",Civil Works - Canal,NA ,Tender,90.0,60.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput",No ,No,"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056","6,000",Nil,Nil,No,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,SEUKID-02/2025-26 (SL01),2025_UPIDB_118204_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2025_UPIDB_118204_1,SEUKID-02/2025-26 (SL01),Providing Trough from RD 11.735 Km to 11.792 Km including slope protection of Bagdary Distributary.,"SE,UKID,Borigumma",Internal,"Divisional Accountant, Estimator",Narendra Kumar Sitha,28-Oct-2025 09:27 PM,finsummary_553003.pdf (318.21 KB),Finance,Bid opening summary,Narendra Kumar Sitha,15-Oct-2025 09:13 PM,finance_553003.pdf,BOQ Comparative Chart,1.0,3104649.0,SANJUKTA PATTNAYAK,INR,"1,116,733",1,3103708,AMIT KUMAR BISHOI,30-Sep-2025 05:19 PM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,29-Oct-2025,"INR 1,313,649",60.0,Narendra Kumar Sitha,26-Dec-2025 10:29 PM,WO01.pdf (239.00 KB),Work Order,"SE,UKID,Borigumma",Internal,"Divisional Accountant, Estimator",Narendra Kumar Sitha,17-Oct-2025 01:35 PM,techsummary_553003.pdf (226.21 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Tender cost, EMD, undertaking, Check list, and any other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3106812,BIKASH PATNAIK,03-Oct-2025 12:42 PM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3103181,DINESH PATNAIK,30-Sep-2025 09:28 AM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3103280,MADHUSMITA Das,30-Sep-2025 11:15 AM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3105134,MIHIR KUMAR SADANGI,01-Oct-2025 11:31 PM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3103781,M/S SANJAYA KUMAR NAIK,30-Sep-2025 06:27 PM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3103676,RAKESH KUMAR NAYAK,30-Sep-2025 04:43 PM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3105182,RASHMITA BISHOI,02-Oct-2025 12:45 PM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3104649,SANJUKTA PATTNAYAK,01-Oct-2025 06:41 PM,Accepted-AOC,Qualified in transparent lottery system.,26-Dec-2025 10:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3103259,SANTANU KUMAR BEHERA,30-Sep-2025 06:09 PM,Rejected-Finance,Disqualified in transparent lottery system.,28-Oct-2025 09:27 PM,,,,,,,,,,,,,,AOC
