Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/02-2025-26/BPR,2025_CERWI_113806_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,24-May-2025 09:00 AM,31-May-2025 11:00 AM,24-May-2025 09:00 AM,30-May-2025 05:30 PM,24-May-2025 09:00 AM ,28-May-2025 05:30 PM ,24-May-2025 09:00 AM,30-May-2025 05:30 PM,14-Jul-2025 11:00 AM,"Chief Construction Engineer, R.W.Circle, BAM,","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11","8,85,600",Yes,fixed,,Nil,Nil,"Construction and maintenance of road from Ludubandha to Kendabadi via Tejabadi, Pangamaha road under the scheme MMSY-CUVDA in the district of Kandhamal for the year 2024-25.","Construction and maintenance of road from Ludubandha to Kendabadi via Tejabadi, Pangamaha road under the scheme MMSY-CUVDA in the district of Kandhamal for the year 2024-25.",Please refer Tender documents. ,NA ,"8,85,51,000",Civil Works - Roads,NA ,Tender,90.0,330.0,Balliguda,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM,",No ,No,AOC,02-Dec-2025,"INR 75,276,944",330.0,Lopamudra Dalai,22-Dec-2025 11:33 AM,Ludubandha.pdf (821.00 KB),1,2939957,Ashis Kumar Padhy,30-May-2025 12:38 PM,Rejected-AOC,1st Lowest,22-Dec-2025 11:33 AM,Finance,Documents to be verified,Swagatika Rauto,15-Jul-2025 04:34 PM,finance_540968.pdf,BOQ Comparative Chart,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Lopamudra Dalai,05-Jul-2025 07:59 PM,14-Jul-2025 11:00 AM,techsummary_540968.pdf (346.77 KB),"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Lopamudra Dalai,22-Jul-2025 07:58 PM,finsummary_540968.pdf (876.83 KB),Technical,Documents to be verified,Lopamudra Dalai,02-Jun-2025 02:59 PM,technical_540968.pdf,CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_113806_2,Online Tender/02-2025-26/BPR,"Construction and maintenance of road from Ludubandha to Kendabadi via Tejabadi, Pangamaha road under the scheme MMSY-CUVDA in the district of Kandhamal for the year 2024-25.",1.0,2943421.0,DEMANTI AGRAWAL,INR,"75,276,944",AOC
2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2943152,Binod Kumar Sahu,30-May-2025 02:40 PM,Rejected-AOC,1st Lowest,22-Dec-2025 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2943421,DEMANTI AGRAWAL,30-May-2025 03:14 PM,Accepted-AOC,Successful bidders after lottery system,22-Dec-2025 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2943616,DILIP KUMAR SWAIN,30-May-2025 04:26 PM,Rejected-AOC,1st Lowest,22-Dec-2025 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2941986,JAYADEV SAHU,30-May-2025 08:05 AM,Rejected-AOC,1st Lowest,22-Dec-2025 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2943775,JAY PRAKASH SHARMA,30-May-2025 04:43 PM,Rejected-AOC,1st Lowest,22-Dec-2025 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2942846,KISHOR CHANDRA SIBALA,30-May-2025 03:38 PM,Rejected-AOC,1st Lowest,22-Dec-2025 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2935089,KRISHNA CHANDRA NIMALU,28-May-2025 09:28 PM,Rejected-AOC,1st Lowest,22-Dec-2025 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2936227,NIRANJAN GOUDA,27-May-2025 08:57 PM,Rejected-AOC,1st Lowest,22-Dec-2025 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2942749,RABI PRASAD SUBUDHI,30-May-2025 03:39 PM,Rejected-Technical,DIS-QUALIFIED,05-Jul-2025 07:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
