S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"18,601",Yes,percentage,1.0%,Nil,Nil,01-Nov-2025 12:00 PM,12-Nov-2025 11:00 AM,01-Nov-2025 12:00 PM,11-Nov-2025 05:30 PM,01-Nov-2025 12:00 PM ,11-Nov-2025 05:30 PM ,01-Nov-2025 12:00 PM,11-Nov-2025 05:30 PM,S/R to RD road to Kusadhipi road such as CC road renewal coat for the year 2025-26,S/R to RD road to Kusadhipi road such as CC road renewal coat for the year 2025-26,NA ,NA ,"18,60,079",Civil Works - Roads,NA ,Tender,90.0,60.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN.pdfBOQ.xlsvalidPANGSTContractorlicenceetcasDTCN,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH","6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH42526,2025_CERWI_120530_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,3187078,BHAGIRATHI PRADHAN,07-Nov-2025 05:01 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,19-Dec-2025,"INR 1,581,253",60.0,Sasmita Munduri,19-Dec-2025 06:39 PM,6337.pdf (507.00 KB),31P1 of 2025-26,EE,Internal,"EE, DAO AND ESTIMATOR",Sasmita Munduri,19-Dec-2025 06:31 PM,techsummary_560791.pdf (2828.80 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_120530_1,TENDERONLINEDNAYAGARH42526,S/R to RD road to Kusadhipi road such as CC road renewal coat for the year 2025-26,EE,Internal,"EE, DAO AND ESTIMATOR",Sasmita Munduri,19-Dec-2025 06:35 PM,finsummary_560791.pdf (2828.80 KB),Finance,Technical Evaluation Committee,Sasmita Munduri,19-Dec-2025 06:27 PM,finance_560791.pdf,BOQ Comparative Chart,1.0,3197376.0,NARENDRA KUMAR CHOUDHURY,INR,"1,581,253",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,AOC,2,3201038,BIDESHI MAHANKUD,09-Nov-2025 12:31 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3196805,BIKASH PRADHAN,08-Nov-2025 05:46 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3212892,CJL CONSTRUCTIONS PRIVATE LIMITED,11-Nov-2025 01:52 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3183277,JHUNUBALA SAHOO,07-Nov-2025 06:30 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3206733,MUKTAMAYEE DALEI,10-Nov-2025 01:13 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3197376,NARENDRA KUMAR CHOUDHURY,09-Nov-2025 08:14 PM,Accepted-AOC,aoc,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3205830,PRAVATI SAHOO,10-Nov-2025 04:27 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3201536,PRITAM PATRA,09-Nov-2025 02:00 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3196965,PUSPANJALI CHOUDHURY,09-Nov-2025 08:23 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3190531,RANJAN PARIDA,07-Nov-2025 12:36 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3195753,ROJALIN SAHOO,11-Nov-2025 04:15 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,3197190,SAILABALA DAS,08-Nov-2025 01:16 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,14,3185777,SANDEEP KUMAR MAHAPATRA,05-Nov-2025 07:05 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,15,3209852,SANTOSH KUMAR SWAIN,10-Nov-2025 09:30 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,16,3205003,SUCHITRA NAYAK,10-Nov-2025 11:55 AM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,17,3200759,SURESH KUMAR BHUJABAL,11-Nov-2025 08:43 AM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,18,3211159,sushama pradhan,11-Nov-2025 11:56 AM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,19,3202435,SUSHANTI RAUTARAY,09-Nov-2025 05:15 PM,Rejected-AOC,L1,19-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
