S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3055653.0,KAMALESH DAS,INR,"285,577",Finance,AOC for Agreement Details,Jangya Narayan Gouda,18-Dec-2025 12:46 PM,finance_550031.pdf,BOQ Comparative Chart,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,18-Dec-2025 12:57 PM,finsummary_550031.pdf (277.40 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,2025_CERWI_117122_1,05/2025-26,S/R TO Police S.I. Qtr Buildings at Klimela 2025-26,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,18-Dec-2025 12:52 PM,techsummary_550031.pdf (277.40 KB),1,3060406,ANIMESH MONDAL,01-Sep-2025 11:27 PM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,18-Dec-2025,"INR 285,577",60.0,Jangya Narayan Gouda,18-Dec-2025 01:02 PM,AGTPoliceSIQtrKalimelaKamleshDas2526.pdf (277.00 KB),AOC for Agreement Details,AOC,22-Aug-2025 11:00 AM,03-Sep-2025 11:00 AM,22-Aug-2025 11:00 AM,02-Sep-2025 05:30 PM,22-Aug-2025 11:00 AM ,01-Sep-2025 03:00 PM ,22-Aug-2025 11:00 AM,02-Sep-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PANCARD, GST, CONTRACTOR REGISTRATION AFFIDAVIT ETC",Divisional Officer,"RURAL WORKS DIVISION NO.II, MALKANGIRI",1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,05/2025-26,2025_CERWI_117122_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R TO Police S.I. Qtr Buildings at Klimela 2025-26,S/R TO Police S.I. Qtr Buildings at Klimela 2025-26,NA ,NA ,"3,35,934",Civil Works - Buildings,NA ,Tender,90.0,60.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, MALKANGIRI",No ,No,"3,370",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3056785,BADAL MAHAJAN,31-Aug-2025 11:21 AM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,.xls,Boq,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3058550,Bhabani Sarkar,01-Sep-2025 08:54 PM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3060596,Bhabesh Dhali,02-Sep-2025 10:14 AM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3051430,BIBEK KUMAR DEURI,27-Aug-2025 04:59 PM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3056816,BIJAY KUMAR RAY,31-Aug-2025 01:39 AM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3056635,BIKRAM MONDAL,01-Sep-2025 11:50 AM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3058365,CHAMPA RANI BISWAS,01-Sep-2025 10:43 AM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3061335,DEVI PRASAD MOHAPATRA,02-Sep-2025 03:45 PM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3058347,GUDLA RAJA PATRA,01-Sep-2025 12:19 PM,Rejected-AOC,Un-Successful,18-Dec-2025 01:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
