Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_118457_19,13/OPHWC/2025-26,"Const. of 6 Nos. E Type Qtrs. At Maidalpur PS, Nowrangpur",1.0,3120672.0,MANOJ KUMAR AGRAWAL,INR,"15,079,990",1,3121846,JAGAJJIBAN SETH,10-Oct-2025 01:08 PM,Rejected-Finance,DUE TO L3 BIDDER,10-Dec-2025 03:18 PM,10-Dec-2025,"INR 15,079,990",365.0,Bikram Keshari Malla,10-Dec-2025 03:23 PM,MAIDA.pdf (82.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 08.12.2025,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,11-Nov-2025 07:19 PM,12-Nov-2025 10:30 AM,techsummary_553623.pdf (308.28 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,12-Nov-2025 10:48 AM,,BOQ Comparative Chart,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,10-Dec-2025 03:18 PM,finsummary_553623.pdf (369.82 KB),Technical,3 Nos. of bidders have been participated,MONALISHA PADHY,13-Oct-2025 03:08 PM,,AOC,1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,"1,77,400",Yes,fixed,,Nil,Nil,"Const. of 6 Nos. E Type Qtrs. At Maidalpur PS, Nowrangpur",Building Work,Please refer Tender documents. ,NA ,"1,77,39,078",Civil Works - Buildings,NA ,Tender,90.0,365.0,Nowrangpur,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,24-Sep-2025 06:55 PM,13-Oct-2025 10:30 AM,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,NA ,NA ,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,12-Nov-2025 10:30 AM,Orissa State Police Housing and Welfare Corporation Ltd,13/OPHWC/2025-26,2025_OSPHW_118457_19,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC
,,,,,,,,,2,3122184,JAI BAJRANGBALI INFRA,10-Oct-2025 02:30 PM,Rejected-Finance,DUE TO L2 BIDDER,10-Dec-2025 03:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC
,,,,,,,,,3,3120672,MANOJ KUMAR AGRAWAL,09-Oct-2025 07:00 PM,Accepted-AOC,QUALIFIED BIDDER,10-Dec-2025 03:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
