Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
23-Jul-2025 05:00 PM,07-Aug-2025 11:00 AM,23-Jul-2025 05:00 PM,06-Aug-2025 05:00 PM,23-Jul-2025 05:00 PM ,05-Aug-2025 05:00 PM ,23-Jul-2025 05:00 PM,06-Aug-2025 05:00 PM,04-Sep-2025 11:00 AM,CE RW I||RWCIRCLE-BARIPADA,NCB 382,2025_CERWI_115960_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN","4,00,050",Yes,percentage,1.0%,Nil,Nil,Construction of HL bridge over Majhisahi nallah on PWD road to Jahira Majhisahi road in the district of Mayurbhanj,Construction of HL bridge over Majhisahi nallah on PWD road to Jahira Majhisahi road in the district of Mayurbhanj,NA ,NA ,"4,00,05,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Mayurbhanj,757105.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE, BARIPADA",No ,No,Circle Officer,"RURAL WORKS CIRCLE, BARIPADA",AOC,1,3024091,ABINASH PANI,05-Aug-2025 07:57 PM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,05-Dec-2025,"INR 34,008,166",365.0,Akshaya Kumar Naik,16-Dec-2025 04:54 PM,Majhisahi.pdf (931.00 KB),"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,01-Sep-2025 01:18 PM,04-Sep-2025 11:00 AM,techsummary_547047.pdf (437.99 KB),Finance,22 Nos of bidders admitted,Ashwani Pradhan,06-Nov-2025 06:10 PM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_115960_1,NCB 382,Construction of HL bridge over Majhisahi nallah on PWD road to Jahira Majhisahi road in the district of Mayurbhanj,Technical,22 Nos of Bidders Participated,Akshaya Kumar Naik,31-Aug-2025 10:24 AM,technical_547047.pdf,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,11-Nov-2025 11:57 AM,finsummary_547047.pdf (447.48 KB),1.0,3022915.0,SWARUP KUMAR MOHAPATRA,INR,"34,008,166",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3024115,ASHOK KUMAR DAS,06-Aug-2025 09:48 AM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3014630,DEBA PRASAD MOHANTA,28-Jul-2025 12:30 PM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3022945,JEETESH RANJAN BEHERA,04-Aug-2025 12:47 PM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3025451,JYOTI RANJAN SETHI,06-Aug-2025 11:20 AM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3025513,KRUSHNA KUMAR KHANDELWAL,06-Aug-2025 03:47 PM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3024389,LALIT KUMAR MOHANTY,06-Aug-2025 01:47 PM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3023788,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,04-Aug-2025 08:19 PM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3025771,NANA SOREN,06-Aug-2025 02:12 PM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3022744,Nanda Kishore Bindhani,05-Aug-2025 01:06 PM,Rejected-AOC,L1,16-Dec-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
