Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Superintending Engineer,"O/O the Superintending Engineer, R.W.Division, Bhadrak","3,780",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,TCN 08 of 2024-25,2025_CERWI_110251_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Compound wall at Sub centre Mukundpur under Tihidi block for the Year2024-25,"Construction of Boundary Wall , approach road , Gate , Cow catcher","PAN,GST,RC and other relevant document as per DTCN ",NA ,"3,77,992",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the Superintending Engineer, R.W.Division, Bha",No ,No,06-Feb-2025 05:00 PM,15-Feb-2025 11:00 AM,06-Feb-2025 05:00 PM,14-Feb-2025 04:00 PM,06-Feb-2025 05:00 PM ,14-Feb-2025 02:00 PM ,06-Feb-2025 05:00 PM,14-Feb-2025 04:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN 08 of 24-25,AOC,Executive Engineer,Internal,,Pallishree Sahoo,03-Dec-2025 02:09 PM,techsummary_528893.pdf (131.45 KB),Executive Engineer,Internal,,Pallishree Sahoo,05-Dec-2025 07:52 PM,finsummary_528893.pdf (131.45 KB),Finance,Total 12 nos Bidder,Pallishree Sahoo,03-Dec-2025 01:53 PM,finance_528893.pdf,BOQ Comparative Chart,06-Dec-2025,"INR 321,331",30.0,Ganesh Chandra Hembram,06-Dec-2025 11:31 AM,tihidi.pdf (1759.00 KB),1.0,2817979.0,M/S BHADRAKALI ENTERPRISERS PROP SUJIT KUMAR PATI,INR,"321,331",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,2025_CERWI_110251_13,TCN 08 of 2024-25,Construction of Compound wall at Sub centre Mukundpur under Tihidi block for the Year2024-25,1,2817773,Deepika Nayak,14-Feb-2025 01:53 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN08,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2816655,FIAZUDDIN KHAN,13-Feb-2025 07:00 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2812942,GITARANI NAYAK,12-Feb-2025 01:38 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2817335,Jiban Kumar Tripathy,14-Feb-2025 11:18 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2817775,KALPANA MAHAPATRA,14-Feb-2025 01:50 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2816803,Kanhei Charan Nayak,13-Feb-2025 07:53 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2817979,M/S BHADRAKALI ENTERPRISERS PROP SUJIT KUMAR PATI,14-Feb-2025 03:40 PM,Accepted-AOC,successful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2817156,RAJESH KUMAR DAS,14-Feb-2025 07:32 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2817852,Rakesh Kumar Mohapatra,14-Feb-2025 02:24 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2806426,RANJIT KUMAR LAHA,10-Feb-2025 11:42 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,06-Dec-2025 11:32 AM,AOC
