Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,ok,Bidyut Prabha Padhy,23-Dec-2025 12:30 PM,,BOQ Comparative Chart,1.0,3239448.0,M PRAKASHA CHANDRA PATRA,INR,"3,210,536",CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,2025_CERWI_121235_18,Online Tender 08/MOHANA/2025-26,SR to PWD Road to Gunduriguda for the year 2025-26,1,3241603,CHINTU PRUSTY,20-Nov-2025 03:37 PM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,23-Dec-2025,"INR 3,210,536",60.0,Bidyut Prabha Padhy,23-Dec-2025 12:45 PM,2025_CERWI_121235_18.pdf (3828.00 KB),Successful Bidder,Executive Engineer,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,23-Dec-2025 12:38 PM,techsummary_564412.pdf (3828.24 KB),Executive Engineer,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,23-Dec-2025 12:42 PM,finsummary_564412.pdf (3828.24 KB),AOC,"37,800",Yes,fixed,,Nil,Nil,SR to PWD Road to Gunduriguda for the year 2025-26,SR to PWD Road to Gunduriguda for the year 2025-26,Please refer Tender documents. ,NA ,"37,77,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Mohana,761015.0,NA ,NA ,NA ,"O/o Executive Engineer, RW Division, Mohana",No ,No,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,Online Tender 08/MOHANA/2025-26,2025_CERWI_121235_18,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit,GSTIN,PAN,RC,other papers as per DTCN,BOQ",EXECUTIVE ENGINEER,"O/o Executive Engineer, RW Division, Mohana Near Civil Court","6,000",0.0,Nil,Nil,No,15-Nov-2025 10:00 AM,21-Nov-2025 11:00 AM,15-Nov-2025 10:00 AM,20-Nov-2025 05:00 PM,15-Nov-2025 10:00 AM ,18-Nov-2025 05:00 PM ,15-Nov-2025 10:00 AM,20-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3241670,DHANU SAHU,20-Nov-2025 03:37 PM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3242151,HRUSIKESH MOHAPATRA,20-Nov-2025 04:39 PM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3241012,JYOTI RANJAN PATRA,20-Nov-2025 03:02 PM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3241330,KUSA GOUDA,20-Nov-2025 01:27 PM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3240619,MADAN GOUDA,20-Nov-2025 11:22 AM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3239448,M PRAKASHA CHANDRA PATRA,19-Nov-2025 08:20 PM,Accepted-AOC,Successful Bidder,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3241678,Pintu Panigrahy,20-Nov-2025 02:37 PM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3237038,RAMA KANTA MOHANTY,20-Nov-2025 07:03 AM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3229576,Sangeeta Mohapatro,18-Nov-2025 10:37 AM,Rejected-AOC,All documents submitted.,23-Dec-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
