Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Construction of twin sataff quarters (4 Units Teaching) at Tilia High School under Balisankara Block.,Construction of twin sataff quarters (4 Units Teaching) at Tilia High School under Balisankara Block.,AS PER DTCN ,NA ,"60,11,201",Civil Works - Buildings,NA ,Tender,90.0,270.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, SUNDARGARH",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"License, PAN Card, GSTIN, Affidavit, No Relation Certificate and other documents as per DTCH","60,112",Yes,fixed,,Nil,Nil,29-Jul-2025 01:00 PM,13-Aug-2025 11:00 AM,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,11-Sep-2025 11:00 AM,PROJECT ADMINISTRATOR,"ITDA, SUNDARGARH","10,000",0.0,Nil,Nil,No,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-03/2025-2026,2025_STSCD_116082_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_116082_3,ITDASNG-03/2025-2026,Construction of twin sataff quarters (4 Units Teaching) at Tilia High School under Balisankara Block.,Technical,TECHNICAL DOCUMENT OPENED,Sudam Chandra Patel,23-Aug-2025 10:39 PM,,COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,05-Dec-2025 04:46 PM,finsummary_547381.pdf (444.41 KB),1.0,3032621.0,PRIYAM KUMAR NAIK,INR,"5,110,122",1,3026202,ASHISH KUMAR SAHU,06-Aug-2025 10:44 PM,Rejected-AOC,Disqualified,05-Dec-2025 04:52 PM,05-Dec-2025,"INR 5,110,121.56",270.0,LAXMAN SAHOO,05-Dec-2025 04:52 PM,TSQTilia.pdf (531.00 KB),"Collector, Sundargarh",Internal,"SE, MI Division Sundargarh, AEE, ITDA, Sundargarh, PA, ITDA, Sundargarh",LAXMAN SAHOO,10-Sep-2025 10:08 PM,11-Sep-2025 11:00 AM,techsummary_547381.pdf (402.96 KB),Finance,Tender Status,Sudam Chandra Patel,11-Sep-2025 12:03 PM,finance_547381.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3029732,BIKRAM PATEL,10-Aug-2025 11:09 PM,Rejected-AOC,Disqualified,05-Dec-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3033494,MD SIFAN NOOR,12-Aug-2025 04:01 PM,Rejected-AOC,Disqualified,05-Dec-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3029588,MOHAMMAD SHAHABUDDIN,09-Aug-2025 07:35 PM,Rejected-AOC,Disqualified,05-Dec-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3032621,PRIYAM KUMAR NAIK,12-Aug-2025 07:22 AM,Accepted-AOC,1st lowest in transparent lottery process,05-Dec-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3032963,RAJ KUMAR PATEL,12-Aug-2025 12:15 PM,Rejected-AOC,Disqualified,05-Dec-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3032523,SAHIL KUMAR RAY,12-Aug-2025 01:52 AM,Rejected-AOC,Disqualified,05-Dec-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3033568,SUBASH CHANDRA LAKRA,12-Aug-2025 04:10 PM,Rejected-AOC,Disqualified,05-Dec-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,AOC
