S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2866883.0,BIKRAM KESHARI MOHANTY,INR,"61,052,339",Trinath Behera,Internal,SE Panikoili DAO PA to CCE AE Estimator,Trinatha Behera,27-Nov-2025 05:21 PM,finsummary_532669.pdf (46.47 KB),Technical,17 bidders have participated,Trinatha Behera,02-May-2025 08:20 PM,,EIC-CIVIL||SERNB-CIRCLE-CUTTACK,2025_EICCL_111478_4,CCE.Ctc.(RandB)15/2024-25,Construction of proposed 200 seated Boys Hostel inside the campus of Govt Polytechnic at Ragadi in the district of Jajpur for the year 2023-24.,Finance,15 bidders have participated,Parsuram Sahu,30-May-2025 01:48 PM,,BOQ Comparative Chart,Trinath Behera,Internal,SE Panikoili Sr DAO EE Cuttack Circle AE Estimator,Trinatha Behera,23-May-2025 07:40 PM,29-May-2025 04:00 PM,techsummary_532669.pdf (1138.44 KB),23-Dec-2025,"INR 61,052,339",330.0,Trinatha Behera,23-Dec-2025 06:57 PM,Agtragadi.pdf (302.00 KB),The date of commencement may be read as 07.11.2025 to complete the work within 11 calandar months,1,2862456,Affluent Agents Pvt Ltd,22-Mar-2025 07:15 PM,Rejected-Finance,Due to 72,27-Nov-2025 05:21 PM,AOC,Construction of proposed 200 seated Boys Hostel inside the campus of Govt Polytechnic at Ragadi in the district of Jajpur for the year 2023-24.,Building work,As per DTCN ,NA ,"7,18,17,832",Civil Works - Buildings,NA ,Tender,90.0,330.0,Panikoili,755043.0,NA ,NA ,NA ,O/o CCE Cuttack RandB Circle,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GSTIN. PAN, RC, Affidavit and correctness certificate",1.0,ICICI BANK,"7,18,200",Yes,fixed,,Nil,Nil,10-Mar-2025 04:00 PM,25-Mar-2025 11:00 AM,10-Mar-2025 04:00 PM,24-Mar-2025 05:30 PM,NA ,NA ,10-Mar-2025 04:00 PM,24-Mar-2025 05:30 PM,29-May-2025 04:00 PM,CCE Cuttack RandB Circle,O/o CCE Cuttack RandB Circle,EIC-CIVIL||SERNB-CIRCLE-CUTTACK,CCE.Ctc.(RandB)15/2024-25,2025_EICCL_111478_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2866192,AMAN INFRA ENGINEERING AND CONSTRUCTION,24-Mar-2025 11:12 AM,Rejected-Finance,Due to L10,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2867149,ASHISH AGARWAL,24-Mar-2025 04:47 PM,Rejected-Finance,Due to L8,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2866883,BIKRAM KESHARI MOHANTY,24-Mar-2025 02:49 PM,Accepted-AOC,Due to L1,23-Dec-2025 06:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2866243,BISWAJIT ROUT,24-Mar-2025 11:53 AM,Rejected-Finance,Due to L4,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2867111,DPS CONSTRUCTION PRIVATE LIMITED,24-Mar-2025 04:15 PM,Rejected-Finance,Due to L10,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2860100,MITALIKA SWAIN,21-Mar-2025 12:13 PM,Rejected-AOC,Due to L2,23-Dec-2025 06:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2863965,M/S ROUT ENTERPRISES,21-Mar-2025 06:00 PM,Rejected-Finance,Due to L6,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2867074,NIRAKAR SAMAL,24-Mar-2025 04:11 PM,Rejected-Finance,Due to L10,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2865919,PRITESH KUMAR JENA,24-Mar-2025 11:25 AM,Rejected-Finance,Due to L10,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2860485,ROUTRAY DEVELOPER,24-Mar-2025 05:11 AM,Rejected-Finance,Due to L9,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2866943,SACHINDRA KUMAR SAHU,24-Mar-2025 03:09 PM,Rejected-Finance,Due to L10,27-Nov-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
