EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"69,790",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,13-Nov-2025 11:00 AM,25-Nov-2025 11:00 AM,13-Nov-2025 11:00 AM,24-Nov-2025 05:00 PM,13-Nov-2025 11:00 AM ,21-Nov-2025 05:00 PM ,13-Nov-2025 11:00 AM,24-Nov-2025 05:00 PM,08-Dec-2025 11:00 AM,Divisional Officer,"RURAL WORKS DIVISION, MALKANGIRI",1.0,Fee/PreQual/Technical,.pdf,"GST,PANCARD,VALID REGN,AFFIDEVIT CORRECTNESS,REGARDING NO RELATION CERTIFICATE",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,"03/RWD-I,MKG/2025-26",2025_CERWI_121190_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Periodical Maintenance (with PMC and SC) to MV.44 to MV.5 Via-MV.1,MV.4 road in the District of Malkangiri for the year 2025-26","Periodical Maintenance (with PMC and SC) to MV.44 to MV.5 Via-MV.1,MV.4 road in the District of Malkangiri for the year 2025-26",NA ,NA ,"69,78,793",Civil Works - Roads,NA ,Tender,90.0,60.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MALKANGIRI",No ,No,AOC,Technical,Summary,Sujata Dishari,06-Dec-2025 06:19 PM,technical_563851.pdf,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,2025_CERWI_121190_1,"03/RWD-I,MKG/2025-26","Periodical Maintenance (with PMC and SC) to MV.44 to MV.5 Via-MV.1,MV.4 road in the District of Malkangiri for the year 2025-26",Executive Enginee,Internal,"SujataDishariEE,BrajBhushanKumarDAO,SatyanarayanBehera,Estimator",Satya Narayan Behera,22-Dec-2025 04:54 PM,finsummary_563851.pdf (903.98 KB),1.0,3248759.0,Dilip Somani,INR,"5,932,672.332",22-Dec-2025,"INR 5,932,672.332",60.0,Satya Narayan Behera,22-Dec-2025 05:09 PM,7784.PDF (1276.00 KB),Work Order,1,3247582,Aryan Tawari,24-Nov-2025 11:20 AM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,Executive Engineer,Internal,"SujataDishariEE,BrajBhushanKumarDAO,SatyanarayanBehera,Estimator",Sujata Dishari,06-Dec-2025 06:24 PM,08-Dec-2025 11:00 AM,techsummary_563851.pdf (652.25 KB),Finance,summary,Satya Narayan Behera,22-Dec-2025 04:45 PM,finance_563851.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3247442,B Sasmita,23-Nov-2025 06:07 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3248759,Dilip Somani,24-Nov-2025 01:22 PM,Accepted-AOC,Selected in Lottery,22-Dec-2025 05:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3247491,GITANJALI PADHAN,23-Nov-2025 11:31 AM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3242136,GOLLECHA DEBENDRA KUMAR JAIN,23-Nov-2025 12:17 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3250114,Hari Prasad Choudhury,24-Nov-2025 03:55 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3245739,Himanshu Sekhar Nayak,24-Nov-2025 03:23 AM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3246056,JANBI CONSTRUCTION,22-Nov-2025 06:14 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3250785,MRINAL KANTA SARKAR,24-Nov-2025 02:06 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3250152,NR Construction,24-Nov-2025 12:38 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3250854,Pinnite Govinda,24-Nov-2025 03:02 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3249621,PUJA SARKAR,24-Nov-2025 11:54 AM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3249026,Simanchal Sabat,23-Nov-2025 09:34 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3241245,Subham Surana,20-Nov-2025 10:53 PM,Rejected-Finance,Not Selected in Lottery,22-Dec-2025 04:54 PM,,,,,,,,,,,,,,AOC
