S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/16/SERWD-II/2025-26,2025_CERWI_120458_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN,31-Oct-2025 05:30 PM,10-Nov-2025 11:00 AM,31-Oct-2025 05:30 PM,07-Nov-2025 05:00 PM,31-Oct-2025 05:30 PM ,06-Nov-2025 05:00 PM ,31-Oct-2025 05:30 PM,07-Nov-2025 05:00 PM,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur","4,000",0.0,Nil,Nil,No,"Renovation of R.W Circle and RW Sub-Division office, Ambapua 2025-26","Renovation of R.W Circle and RW Sub-Division office, Ambapua 2025-26",Please refer Tender documents. ,NA ,"7,01,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,"7,100",Yes,fixed,,Nil,Nil,AOC,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,24-Dec-2025 04:18 PM,finsummary_560545.pdf (1646.90 KB),CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_120458_2,Online Tender/16/SERWD-II/2025-26,"Renovation of R.W Circle and RW Sub-Division office, Ambapua 2025-26",1.0,3180391.0,PRASANTA KUMAR PANIGRAHI,INR,"595,744",Finance,Tender will be finalized after downloaded Bid documents scrutinized.,Babina Sahu,17-Nov-2025 01:32 PM,,BOQ Comparative Chart,24-Dec-2025,"INR 595,744",30.0,Sudipta Senapati,24-Dec-2025 04:24 PM,3RWcircleSubDivAmbapuaWO.pdf (871.00 KB),Work Order,1,3194393,AMIT KUMAR DAS,07-Nov-2025 04:48 PM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,24-Dec-2025 04:14 PM,techsummary_560545.pdf (1298.83 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3188821,DEEPAK KUMAR PATRO,06-Nov-2025 01:36 PM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3180713,K LINGARAJ ACHARY,05-Nov-2025 11:14 AM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3190828,K NARENDRA KUMAR RAO,06-Nov-2025 07:30 PM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3188875,M SURESH REDDY,06-Nov-2025 01:48 PM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3177932,PABITRA KUMAR PALO,04-Nov-2025 10:20 PM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3180391,PRASANTA KUMAR PANIGRAHI,04-Nov-2025 12:41 PM,Accepted-AOC,Successful Bidder in Lottery,24-Dec-2025 04:24 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3189098,Rashmita Panda,06-Nov-2025 05:41 PM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3194058,SASMITA SABAT,07-Nov-2025 02:56 PM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3186029,Satyanarayan Sahu,05-Nov-2025 07:53 PM,Rejected-AOC,Unsuccessful Bidder,24-Dec-2025 04:24 PM,,,,,,,AOC
