EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,33,300",Yes,percentage,1.0%,Nil,Nil,CCE RWC Baripada,CCE RWC Baripada,Periodical maintenance such as renewal coat with SDBC of Package No-PR-BPD-43 for the year 2024-25 in the District of Mayurbhanj.,Periodical maintenance such as renewal coat with SDBC of Package No-PR-BPD-43 for the year 2024-25 in the District of Mayurbhanj.,Please refer Tender documents. ,NA ,"2,33,30,000",Civil Works - Roads,NA ,Tender,90.0,90.0,"SERW Division, Baripada",757002.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-362,2025_CERWI_109475_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN","10,000",0.0,Nil,Nil,No,17-Jan-2025 02:00 PM,31-Jan-2025 11:00 AM,17-Jan-2025 02:00 PM,30-Jan-2025 05:00 PM,17-Jan-2025 02:00 PM ,29-Jan-2025 05:00 PM ,17-Jan-2025 02:00 PM,30-Jan-2025 05:00 PM,20-Mar-2025 11:00 AM,1.0,ICICI BANK,AOC,1,2788659,AJAY KUMAR ROUT,30-Jan-2025 01:32 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,13-Aug-2025,"INR 19,832,725",90.0,Akshaya Kumar Naik,22-Dec-2025 07:57 PM,bpd43.pdf (87.00 KB),"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,17-Mar-2025 03:19 PM,20-Mar-2025 11:00 AM,techsummary_526024.pdf (277.75 KB),Finance,10 Nos of bidders admitted,Ashwani Pradhan,29-Jul-2025 04:32 PM,,BOQ Comparative Chart,Technical,10 Nos of bidders participated,Ashwani Pradhan,17-Mar-2025 01:34 PM,,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_109475_3,Road Online N.C.B. No-362,Periodical maintenance such as renewal coat with SDBC of Package No-PR-BPD-43 for the year 2024-25 in the District of Mayurbhanj.,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,13-Aug-2025 12:40 PM,finsummary_526024.pdf (656.27 KB),1.0,2787744.0,SUMAN KUMAR SAHU,INR,"19,832,725",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2789190,AKASH PRASAD,30-Jan-2025 01:24 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,AOC,3,2789759,GOLAK BIHARI NAYAK,30-Jan-2025 04:04 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,AOC,4,2783472,KRUSHNA KUMAR KHANDELWAL,30-Jan-2025 03:32 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2787209,Nanda Kishore Bindhani,29-Jan-2025 06:17 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2777855,RAMJIT MARANDI,29-Jan-2025 12:56 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2787197,SRI BHAGIRATHA LENKA,29-Jan-2025 05:10 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2787640,SRI RAJAT KUMAR BISWAL,29-Jan-2025 08:04 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2787744,SUMAN KUMAR SAHU,29-Jan-2025 08:42 PM,Accepted-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2788998,TARUN MOHANTY,30-Jan-2025 04:59 PM,Rejected-AOC,L1,22-Dec-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
