Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of Forester Quarter at Lariapali Section during the year 2025-26,Construction of Forester Quarter at Lariapali Section of Kolabira Forest Range under Jharsuguda Forest Division during the year 2025-26,Please refer Tender documents. ,NA ,"17,90,133",Civil Works - Buildings,NA ,Tender,90.0,120.0,Lariapali of Kolabira Block,768213.0,NA ,NA ,NA ,"Office of the DFO Jharsuguda at BTM, Jharsuguda",No ,No,Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Jharsuguda,DFO/JSG-07 OF 2025-26,2025_DFOJH_120696_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Detailed Tender Call Notice,"6,000",Nil,Nil,Yes,"17,901",Yes,fixed,,Nil,Nil,03-Nov-2025 02:00 PM,17-Nov-2025 11:00 AM,03-Nov-2025 02:00 PM,15-Nov-2025 05:00 PM,NA ,NA ,03-Nov-2025 02:00 PM,15-Nov-2025 05:00 PM,20-Nov-2025 05:35 PM,"Divisional Forest Officer,","Divisional Forest Office, At BTM, Ekatali Jharsuguda",AOC,22-Dec-2025,"INR 1,521,792",90.0,Manu Ashok Bhat,30-Dec-2025 12:39 PM,aoc.pdf (2312.00 KB),Work order for work-Construction of Forester Quarter at Lariapali Section during the year 2025-26,1,3226314,BHESAJA KUMAR PATTA,15-Nov-2025 02:53 PM,Accepted-AOC,Winner in Lottery,30-Dec-2025 12:50 PM,Finance,BHESAJA KUMAR PATTA and GURUDEV NAIK Selected for Lottery,Manu Ashok Bhat,27-Nov-2025 01:12 PM,finance_561371.pdf,BOQ Comparative Chart,ACF JHARSUGUDA FOREST DIVISION,Internal,KULAMANI PRADHN UDAYANTA SAHU BIRENDRA KUMAR PATEL ALOK KUMAR NAIK SURESH KUMAR TAREI,Manu Ashok Bhat,20-Nov-2025 05:30 PM,20-Nov-2025 05:35 PM,techsummary_561371.pdf (4162.88 KB),ACF JHARSUGUDA FOREST DIVISION,Internal,"Sri Kulamani Pradhan, Sri Udayanta Sahu, Sri Alok Kumar Naik, Sri Birendra Kumar Patel, Sri Suresh Kumar Tarei",Manu Ashok Bhat,09-Dec-2025 05:22 PM,finsummary_561371.pdf (1328.15 KB),Technical,All Bidders are accepted,Manu Ashok Bhat,20-Nov-2025 05:04 PM,,Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Jharsuguda,2025_DFOJH_120696_1,DFO/JSG-07 OF 2025-26,Construction of Forester Quarter at Lariapali Section during the year 2025-26,1.0,3226314.0,BHESAJA KUMAR PATTA,INR,"1,521,792",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Notice Inviting Tender,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3226112,BHIMSEN BHANJA,14-Nov-2025 11:15 PM,Rejected-Technical,due to non submission of IT Returns,20-Nov-2025 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender paper cost,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3227992,GURUDEV NAIK,15-Nov-2025 04:39 PM,Rejected-AOC,Loser in Lottery,30-Dec-2025 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"RC Book , Affidavit, EMD, GSTIN, PAN, Experience Certificate as contractor,",,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3226307,KALPIT KUMAR RAWAL,15-Nov-2025 03:24 PM,Rejected-Finance,due to higher bid amount,09-Dec-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Check List,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3224818,NITYANANDA BANJARA,14-Nov-2025 03:28 PM,Rejected-Technical,due to non submission of IT Returns,20-Nov-2025 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3227543,YASH RAWAL,15-Nov-2025 04:32 PM,Rejected-Finance,due to higher bid amount,09-Dec-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
