Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,"LT AB Cable line stringing from existing Transformer of TPCODL for power distribution to Vending Zone Cabins near Shree setu 1.71Km by Supply of materials with erection, testing and commissioning in all respect",ELECTRICAL,Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,120.0,30.0,SHREESETU,100000.0,NA ,NA ,NA ,OFFICER CHAMBER,No ,No,EO,PURI,"20,587",Yes,fixed,,Nil,Nil,14-Nov-2025 03:00 PM,21-Nov-2025 11:00 AM,15-Nov-2025 03:00 PM,20-Nov-2025 05:00 PM,NA ,NA ,15-Nov-2025 03:00 PM,20-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"REGISTRATION CERTIFICATE, GST, PAN, EPF, AFFIDAVIT AND ANY OTHER DOCUMENTS AS PER DTCN",Municipal Bodies||Puri Municipality,PM 04/2025-26,2025_ORULB_121219_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1,3241176,MESSERS BAJARANGA POWER CONSTRUCTION,20-Nov-2025 01:06 PM,Accepted-AOC,DECIDED BY TENDER COMMITTEE,26-Dec-2025 04:53 PM,26-Dec-2025,"INR 2,035,978.11",30.0,Jayanta Kumar Maitra,26-Dec-2025 04:53 PM,ProceedingPM04Y2526.pdf (836.00 KB),ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,26-Dec-2025 04:47 PM,techsummary_564050.pdf (836.14 KB),ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,26-Dec-2025 04:51 PM,finsummary_564050.pdf (836.13 KB),Municipal Bodies||Puri Municipality,2025_ORULB_121219_1,PM 04/2025-26,"LT AB Cable line stringing from existing Transformer of TPCODL for power distribution to Vending Zone Cabins near Shree setu 1.71Km by Supply of materials with erection, testing and commissioning in all respect",1.0,3241176.0,MESSERS BAJARANGA POWER CONSTRUCTION,INR,"2,035,978.11",Finance,"03 nos of Bidders participated for the project and submitted Documents, Due to Shortfall of required Documents 01 nos of Bidder have been rejected. Hence, other 02 nos of Bidder have been accepted for evaluation.",Jayanta Kumar Maitra,21-Nov-2025 04:22 PM,finance_564050.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3233543,M/S ELECTROLITE INDUSTRY,20-Nov-2025 12:49 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-In suficient Documents,21-Nov-2025 04:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3242316,M/S. MAA LAXMI ELECTRICALS,20-Nov-2025 04:36 PM,Rejected-Finance,DECIDED BY TENDER COMMITTEE,26-Dec-2025 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
