Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,12-Dec-2025 12:11 PM,finsummary_550229.pdf (5017.74 KB),Rourkela Municipal Corporation,2025_RMC_117214_4,MC/RMC/33/2025,"Construction of Road and Drain at Rimjhim Basti, Ward No 22 under RMC, Rourkela.",1.0,3065594.0,BABULA NAYAK,INR,"1,753,222.45",12-Dec-2025,"INR 1,753,222.45",60.0,Manas Biswal,12-Dec-2025 12:39 PM,BID33.pdf (5018.00 KB),Awarded to Babula Nayak,1,3066115,ANIL BEHERA (S.C),06-Sep-2025 04:41 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,04-Nov-2025 12:59 PM,techsummary_550229.pdf (5017.75 KB),Finance,EMD refund,Birendra Nanda,04-Nov-2025 12:12 PM,finance_550229.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",Rourkela Municipal Corporation,MC/RMC/33/2025,2025_RMC_117214_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of Road and Drain at Rimjhim Basti, Ward No 22 under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"20,62,000",Civil Works - Others,NA ,Tender,90.0,60.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"6,000",Nil,Nil,No,22-Aug-2025 06:00 PM,08-Sep-2025 11:00 AM,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,NA ,NA ,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, GST, Paper Cost and other documents as per DTCN","20,620",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3059936,ARADHYA CONSTRUCTION,01-Sep-2025 06:41 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3055237,ARATI TRIPATHY,29-Aug-2025 05:22 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3065594,BABULA NAYAK,06-Sep-2025 12:50 PM,Accepted-AOC,By The Tender Committee,12-Dec-2025 12:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3055320,HEMA MINZ,29-Aug-2025 06:24 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3064708,KARTIK DAS,05-Sep-2025 05:37 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3064247,KESHAB CHANDRA JENA,05-Sep-2025 12:44 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3055343,MANOJ KUMAR NAYAK,29-Aug-2025 06:45 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3065957,SHIVANSH ENTERPRISES,06-Sep-2025 03:40 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3066005,SUBRATA MALLICK,06-Sep-2025 03:59 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,3065763,SWADESH ROUT,06-Sep-2025 01:51 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,12,3065864,"TRILOK NATH CONSTRUCTION ,PROPRIETOR - ANAND CHANDEL",06-Sep-2025 02:49 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 12:59 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
