Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,13 nos bidders are participate and all are admitted,Swagatika Panda,22-Oct-2025 09:47 PM,finance_554647.pdf,BOQ Comparative Chart,1.0,3138876.0,Uma Bhoi,INR,"445,707.931",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,2025_EICCL_118946_6,SE/R AND B/ SNPR / 10 / 2025-26,Construction of Cover shed of Cycle Stand at Govt. ITI Birmaharajpur in the District of Subarnapur for the year 2024-25,"B. Jena, SE",Internal,"A. Kumar, DAO, K. Meher, JE (Estimator)",Kshirasindhu Meher,20-Dec-2025 01:45 PM,finsummary_554647.pdf (416.81 KB),"B. Jena, SE",Internal,"A. Kumar, DAO, K. Meher, JE (Estimator)",Kshirasindhu Meher,20-Dec-2025 01:35 PM,techsummary_554647.pdf (416.81 KB),20-Dec-2025,"INR 445,707.931",30.0,Kshirasindhu Meher,20-Dec-2025 01:49 PM,wo.pdf (190.00 KB),Work Order,1,3138885,Anusaya Mendili,20-Oct-2025 10:20 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost (Online), EMD (online), GST Certificate, PAN Contractor RC",06-Oct-2025 10:00 AM,22-Oct-2025 11:00 AM,06-Oct-2025 10:00 AM,21-Oct-2025 05:00 PM,06-Oct-2025 10:00 AM ,11-Oct-2025 05:00 PM ,06-Oct-2025 10:00 AM,21-Oct-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,SE/R AND B/ SNPR / 10 / 2025-26,2025_EICCL_118946_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"5,300",Yes,fixed,,Nil,Nil,Superintending Engineer,"O/O SE (RandB) Division, Sonepur",Construction of Cover shed of Cycle Stand at Govt. ITI Birmaharajpur in the District of Subarnapur for the year 2024-25,Construction of Cover shed of Cycle Stand at Govt. ITI Birmaharajpur in the District of Subarnapur for the year 2024-25,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,30.0,Sonepur,767017.0,"O/O SE (RandB) Division, Sonepur ","O/O SE (RandB) Division, Sonepur ",20-Oct-2025 11:00 AM ,Sonepur,No ,No,1.0,Corrigendum,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3122686,BIKASH KUMAR PANDA,21-Oct-2025 02:36 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,.pdf,"Affidavits, undertakings and any other document as per SBD / DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3139441,Chaitanya Sethy,21-Oct-2025 12:31 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3133018,DURGESH PANDA,21-Oct-2025 04:01 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3131383,GAJENDRA PADHAN,18-Oct-2025 12:02 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3138820,PRAYAS KUMAR SAHU,20-Oct-2025 08:42 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3137099,Premraj Nayak,19-Oct-2025 11:27 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3139097,RAMESWAR MAHAKUR,21-Oct-2025 03:38 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3140305,REETANJALI PRADHAN,21-Oct-2025 04:45 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3138783,REKHA AGRAWAL,21-Oct-2025 04:16 PM,Rejected-AOC,Rejected for lottery system,20-Dec-2025 01:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
