S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3132936.0,KAILASH CHANDRA CHOUDHURY,INR,"254,001",Finance,Bid opening,Avijit Barik,17-Dec-2025 12:46 PM,finance_555107.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,17-Dec-2025 12:55 PM,finsummary_555107.pdf (479.02 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119117_1,SERWSBD Online 04 2025 26,S/R to RW Staff Qtr Building (2RA 15/3) at Sunabeda,Superintending Engineer,Internal,,Avijit Barik,17-Dec-2025 12:49 PM,techsummary_555107.pdf (479.02 KB),1,3130031,ASHOK KUMAR SAHU,18-Oct-2025 10:52 AM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,17-Dec-2025,"INR 254,001",60.0,Avijit Barik,17-Dec-2025 12:59 PM,Wo2RA153.pdf (803.00 KB),AOC,1.0,ICICI BANK,"3,000",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 04 2025 26,2025_CERWI_119117_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",S/R to RW Staff Qtr Building (2RA 15/3) at Sunabeda,S/R to RW Staff Qtr Building (2RA 15/3) at Sunabeda,NA ,NA ,"2,98,789",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,09-Oct-2025 02:00 PM,20-Oct-2025 03:00 PM,09-Oct-2025 02:00 PM,20-Oct-2025 11:00 AM,09-Oct-2025 02:00 PM ,18-Oct-2025 05:00 PM ,09-Oct-2025 02:00 PM,20-Oct-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3133509,ASWINI PANIGRAHY,19-Oct-2025 11:37 AM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3130478,BABULI KUMAR SIYA,17-Oct-2025 10:47 AM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3133202,BHAGIRATHI PANIGRAHY,19-Oct-2025 10:22 AM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3135916,BISHNU PRIYA MOHARAN,20-Oct-2025 06:43 AM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3136111,DEBABRATA ROUT,19-Oct-2025 03:57 PM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3132936,KAILASH CHANDRA CHOUDHURY,17-Oct-2025 11:17 PM,Accepted-AOC,Qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3128802,MINAKSHI TRIPATHY,15-Oct-2025 11:04 AM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3129627,M/S BANABASI ROUT,15-Oct-2025 03:59 PM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3135964,PADMA CHARAN BISOI,19-Oct-2025 02:48 PM,Rejected-AOC,Not qualified,17-Dec-2025 01:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
