S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,"2,68,700",Yes,fixed,,Nil,Nil,14-Jul-2025 10:00 AM,29-Jul-2025 11:00 AM,14-Jul-2025 10:00 AM,28-Jul-2025 05:30 PM,14-Jul-2025 10:00 AM ,25-Jul-2025 01:00 PM ,14-Jul-2025 10:00 AM,28-Jul-2025 05:30 PM,22-Oct-2025 10:30 AM,CCE Deo Irr Project Karanjia||CCE Deo Irr Project Karanjia||E.E Deo Head Works Divn Karanjia,02/CCEDIP of 2025-26 (1),2025_CCEDI_115478_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Chief Construction Engineer,"Chief Construction Engineer, Deo Irrigation Project, Karanjia",1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper,EMD, GSTIN, PAN, Contractor RC, Affidavit, NRC, Any other document as per DTCN","Construction of Bad-Barakamuda Primary School Building including with AWC Building, Kitchen Cum Store Room, Sub post office, CC Road and Plinth Protection at Bada Barakamuda (Fully Submerged) Village of Deo Irrigation Project.","Construction of Bad-Barakamuda Primary School Building including with AWC Building, Kitchen Cum Store Room, Sub post office, CC Road and Plinth Protection at Bada Barakamuda (Fully Submerged) Village of Deo Irrigation Project.",As per Technical Bid ,NA ,"2,68,64,172",Civil Works - Others,"Building, Road, Protection wall ",Tender,90.0,180.0,Bada Barakamuda,757037.0,NA ,NA ,NA ,"O/o the CCE, Deo Irrigation Project, Karanjia",No ,No,"10,000",Nil,Nil,No,AOC,"Er. Prasad Ranjan Panda, CCE, DIP, Karanjia",Internal,"1)Er. Prasad Ranjan Panda, CCE, DIP, Karanjia,2) Er. Suraj Kumar Patro, SE, DHWD, Karanjia, 3)Sri Rahul Dev Thakur, DAO, DHWD, Karanjia 4)Er. Gitanjali Singh,AEE, Asst. to CCE, DIP, Karanjia",Bijaylaxmi Tudu,30-Oct-2025 11:14 AM,finsummary_545882.pdf (1097.52 KB),CCE Deo Irr Project Karanjia||CCE Deo Irr Project Karanjia||E.E Deo Head Works Divn Karanjia,2025_CCEDI_115478_1,02/CCEDIP of 2025-26 (1),"Construction of Bad-Barakamuda Primary School Building including with AWC Building, Kitchen Cum Store Room, Sub post office, CC Road and Plinth Protection at Bada Barakamuda (Fully Submerged) Village of Deo Irrigation Project.",Technical,"42 nos bid was received, opened and downloaded on dt.29.07.2025",Bijaylaxmi Tudu,09-Sep-2025 05:59 PM,technical_545882.pdf,1.0,3006729.0,GANESH CHANDRA SAHOO,INR,"22,837,232",1,3015126,ABHIJIT MOHAPATRA,28-Jul-2025 02:47 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,05-Dec-2025,"INR 22,837,232",180.0,Bijaylaxmi Tudu,17-Dec-2025 01:08 PM,WOganesh.pdf (986.00 KB),"The above work has been awarded to the lottery winner Sri Ganesh chandra Sahoo,B class diploma Engineering contractor vide agreement no 43P1/2025-26.",Finance,Financial bid was opened and downloaded on dt.22.10.2025.,Bijaylaxmi Tudu,30-Oct-2025 10:48 AM,finance_545882.pdf,BOQ Comparative Chart,"Er. Prasad Ranjan Panda, CCE, DIP, Karanjia",Internal,"1)Er. Prasad Ranjan Panda, CCE, DIP, Karanjia,2) Er. Suraj Kumar Patro, SE, DHWD, Karanjia, 3)Sri Rahul Dev Thakur, DAO, DHWD, Karanjia 4)Er. Gitanjali Singh,AEE, Asst. to CCE, DIP, Karanjia",Bijaylaxmi Tudu,19-Oct-2025 10:07 AM,22-Oct-2025 10:30 AM,techsummary_545882.pdf (1136.41 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3006940,ASHISH KUMAR MOHAPATRA,22-Jul-2025 09:15 AM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3012182,Bibhuti Bhusan Mohanta,27-Jul-2025 04:45 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3013949,BIDYADHAR MOHANTA,27-Jul-2025 09:05 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3012116,BIMAL BHUSAN MOHANTA,27-Jul-2025 03:53 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3012271,BINIT KUMAR BEHERA,25-Jul-2025 09:58 PM,Rejected-Technical,Technically Non-Responsive,19-Oct-2025 10:07 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3013396,BISWARANJAN BISWAL,27-Jul-2025 12:43 PM,Rejected-Finance,Rejected as L2 bidder,30-Oct-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3012252,BRAHMANANDA SAHOO,25-Jul-2025 09:46 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3010958,CHANDAN KUMAR BEHERA,28-Jul-2025 02:21 PM,Rejected-AOC,Not won the transparency lottery.,17-Dec-2025 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3014016,Chandan Kumar Mohanta,28-Jul-2025 10:15 AM,Rejected-Technical,Technically Non-Responsive,19-Oct-2025 10:07 AM,,,,,,,,,,,,,,,,,,,,,AOC
