S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"11,800",0.0,Nil,Nil,No,Bhubaneswar Development Authority||Bhubaneswar Development Authority||EE BDA Division IV,482.0,2025_BDABU_113349_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,SELECTION OF AN AGENCY FOR PROVIDING TEMPORARY LIGHTING ON HIRE/RENTAL BASIS FOR THE BEAUTIFICATION OF STREETS AT VARIOUS LOCATION AND BDA OFFICE BUILDING IN BHUBANESWAR FOR DIFFERENT OCASIONS CALL 2,SELECTION OF AN AGENCY FOR PROVIDING TEMPORARY LIGHTING ON HIRE / RENTAL BASIS FOR THE BEAUTIFICATION OF STREETS AT VARIOUS LOCATIONS AND B.D.A. OFFICE BUILDING IN BHUBANESWAR FOR DIFFERENT OCASIONS CALL 2,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,180.0,365.0,Bhubaneswar,751001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"2,00,000",No,fixed,,Nil,Nil,1.0,Corrigendum,Date,,13-May-2025 06:00 PM,29-May-2025 11:30 AM,13-May-2025 06:00 PM,28-May-2025 05:00 PM,NA ,NA ,13-May-2025 06:00 PM,28-May-2025 05:00 PM,06-Jun-2025 04:30 PM,"Executive Engineer, Division-IV","Bhubaneswar Development Authority (BDA), Akash Shova Building, Sachivalaya Marg, Bhubaneswar 751 001",1,Fee/PreQual/Technical,.pdf,Technical Bid,AOC,Technical,Technical Bids open and under Evaluation.,Sangram Keshari Mishra,29-May-2025 12:53 PM,,Bhubaneswar Development Authority||Bhubaneswar Development Authority||EE BDA Division IV,2025_BDABU_113349_1,482.0,SELECTION OF AN AGENCY FOR PROVIDING TEMPORARY LIGHTING ON HIRE/RENTAL BASIS FOR THE BEAUTIFICATION OF STREETS AT VARIOUS LOCATION AND BDA OFFICE BUILDING IN BHUBANESWAR FOR DIFFERENT OCASIONS CALL 2,"ENGINEER MEMBER, BDA, BHUBANESWAR",Internal,"DAO, Division No.IV, E.E.-cum-T.A. to EM, DAO, EM Office, EE-IV, Manager Finance and Member Finance, BDA, Bhubaneswar.",Sangram Keshari Mishra,04-Dec-2025 11:37 AM,finsummary_539223.pdf (829.50 KB),1.0,2918822.0,MODERN WINDING AND ELECTRICALS,INR,"8,311,500",1,2918934,CORESPIKE ELECTRICALS PVT LTD,15-May-2025 01:58 PM,Rejected-AOC,Rejected,04-Dec-2025 11:50 AM,04-Dec-2025,"INR 8,311,500",365.0,Sangram Keshari Mishra,04-Dec-2025 11:50 AM,AoC.pdf (616.00 KB),Date of Commencement 14/08/2025 and Date of Completion 3 years.,Executive Engineer division-IV,Internal,,Hembram Bhujuram,06-Jun-2025 04:18 PM,06-Jun-2025 04:30 PM,techsummary_539223.pdf (428.22 KB),Finance,Financial bid opened and under evaluation,Hembram Bhujuram,06-Jun-2025 04:46 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,AOC,,,,,,,,,,,,,,,,,,,,,2,2918822,MODERN WINDING AND ELECTRICALS,15-May-2025 01:13 PM,Accepted-AOC,Negotiated rate,04-Dec-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,AOC
