Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 25 OF 2024 - 25,2025_RWSS_112240_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of an additional 6.00 mtr ID Percolation well due to low yield of existing source for RPWS to village Debang under Muribahal Block in Balangir District.,Construction of an additional 6.00 mtr ID Percolation well due to low yield of existing source for RPWS to village Debang under Muribahal Block in Balangir District.,Please refer DTCN ,NA ,"25,76,246",Civil Works - Water Works,WATER SUPPLY ,Tender,90.0,90.0,Debang under Muribahal Block,767037.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,07-Apr-2025 11:00 AM,16-Apr-2025 11:00 AM,07-Apr-2025 11:00 AM,15-Apr-2025 05:00 PM,NA ,NA ,07-Apr-2025 11:00 AM,15-Apr-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost,EMD,GST,PAN, contractor Registration certificate, Experience Certificate etc",1.0,ICICI BANK,Superintending Engineer,Superintending Engineer RWSS Division Balangir,"6,000",0.0,Nil,Nil,No,"25,762",Yes,percentage,1.0%,Nil,Nil,AOC,1.0,2884318.0,KAMALINI BEHERA,INR,"2,190,066",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_112240_2,BID NO 25 OF 2024 - 25,Construction of an additional 6.00 mtr ID Percolation well due to low yield of existing source for RPWS to village Debang under Muribahal Block in Balangir District.,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,08-Aug-2025 06:30 PM,techsummary_535468.pdf (1035.99 KB),ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,08-Aug-2025 06:40 PM,finsummary_535468.pdf (1035.99 KB),Finance,BID HAS BEEN OPENED,Khagendra Barik,16-Apr-2025 04:59 PM,finance_535468.pdf,BOQ Comparative Chart,08-Aug-2025,"INR 2,576,245",90.0,Khagendra Barik,08-Aug-2025 06:50 PM,DEBANG.pdf (1036.00 KB),L1 bidder has respond,1,2884159,Amit Agrawal,15-Apr-2025 12:22 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,08-Aug-2025 06:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2881095,BINOD KUMAR MEHER,11-Apr-2025 06:30 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,08-Aug-2025 06:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2884494,Bishnu Sahu,15-Apr-2025 04:21 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,08-Aug-2025 06:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2882694,chaurasi suna,12-Apr-2025 07:50 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,08-Aug-2025 06:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2884442,chhabalilal panika,15-Apr-2025 01:40 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,08-Aug-2025 06:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2884419,GOPAL DAS SHARMA,15-Apr-2025 12:02 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,08-Aug-2025 06:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2884318,KAMALINI BEHERA,15-Apr-2025 02:52 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,08-Aug-2025 06:51 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2884407,Manish Kumar Sharma,15-Apr-2025 11:51 AM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,08-Aug-2025 06:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2884109,MITHUN KUMBHAR,14-Apr-2025 09:00 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,08-Aug-2025 06:51 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2884680,NARENDRA PANIKA,15-Apr-2025 04:14 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,08-Aug-2025 06:40 PM,AOC
