Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
20-Aug-2025,"INR 34,454,754.278",272.0,Prabhakara Behera,20-Aug-2025 08:03 PM,AOCRANIGUDA.pdf (1302.00 KB),Award of contract to Hemanto Kumar Swain through transparency lottery system.,1,2851168,ABHAYA KUMAR MAHUNTA,11-Mar-2025 08:34 PM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,1.0,2851117.0,HEMANTO KUMAR SWAIN,INR,"29,289,986.61",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_110486_19,CCERWCSBD Online - 18/2024-25,Improvement of L021-Raniguda to Atigam road under MMSY-Improvement of Existing RD Road in the Districts of Koraput for the year 2024-25.,Finance,CS,Prabhakara Behera,20-Aug-2025 07:44 PM,finance_532209.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division, Jeypore Estimator, R.W. Circle Sunabeda",Prabhakara Behera,18-Apr-2025 07:45 PM,23-Apr-2025 11:00 AM,techsummary_532209.pdf (1620.70 KB),Technical,BIDDERS NAME,Prabhakara Behera,26-Mar-2025 08:06 PM,technical_532209.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division, Jeypore Estimator, R.W. Circle Sunabeda",Prabhakara Behera,20-Aug-2025 07:51 PM,finsummary_532209.pdf (910.26 KB),AOC,04-Mar-2025 02:00 PM,13-Mar-2025 11:00 AM,04-Mar-2025 02:00 PM,12-Mar-2025 05:00 PM,04-Mar-2025 02:00 PM ,11-Mar-2025 02:00 PM ,04-Mar-2025 02:00 PM,12-Mar-2025 05:00 PM,23-Apr-2025 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",Improvement of L021-Raniguda to Atigam road under MMSY-Improvement of Existing RD Road in the Districts of Koraput for the year 2024-25.,Improvement of L021-Raniguda to Atigam road under MMSY-Improvement of Existing RD Road in the Districts of Koraput for the year 2024-25.,N.A. ,NA ,"3,44,55,000",Civil Works - Roads,NA ,Tender,90.0,272.0,JEYPORE,764005.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,1.0,corrigendum-4,Technical Bid,,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","10,000",0.0,Nil,Nil,No,"3,45,000",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 18/2024-25,2025_CERWI_110486_19,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,2,2851276,BATU PRAVEEN KUMAR,11-Mar-2025 09:58 PM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,2852060,CHANDAN KUMAR BISOI,12-Mar-2025 02:04 PM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,2851164,DEEPAK KUMAR SAHU,11-Mar-2025 08:49 PM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,2851071,GANESH PATNAIK,12-Mar-2025 01:21 PM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,2851117,HEMANTO KUMAR SWAIN,12-Mar-2025 01:11 PM,Accepted-AOC,Award of contract to Hemanto Kumar Swain through transparency lottery system.,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,2851368,Khaga Bhatara,12-Mar-2025 11:39 AM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,2852370,Nirod Kumar Nayak,12-Mar-2025 04:25 PM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,2852035,Rajesh Kumar Jain,12-Mar-2025 04:54 PM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,2850842,Sandeep Bisoi,11-Mar-2025 11:04 PM,Rejected-AOC,REJECT,20-Aug-2025 08:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
