Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Eleven nos. of bidder only,Haripriya Pradhan,04-Mar-2025 05:13 PM,finance_525239.pdf,BOQ Comparative Chart,K.C Khatua,Internal,,Kishore Chandra Khatua,01-Mar-2025 01:17 PM,04-Mar-2025 11:00 AM,techsummary_525239.pdf (538.11 KB),05-Aug-2025,"INR 22,666,806.15",180.0,Binata Kishan,05-Aug-2025 12:13 PM,2642.pdf (257.00 KB),1,2775177,AMAN BADHAN,24-Jan-2025 07:59 PM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,1.0,2776473.0,SOBIKA AGRAWAL,INR,"19,269,051.91",A.K Sahoo,Internal,,Haripriya Pradhan,29-Mar-2025 06:54 PM,finsummary_525239.pdf (409.94 KB),CE RW I||RW-CIRCLE-SUNDARGARH,2024_CERWI_108824_8,RWCCESNG-14 OF 2024-25,PR-SNG-08 OF 2024-25,Technical,Total Twelve nos of bidder only.,Haripriya Pradhan,28-Jan-2025 05:03 PM,,AOC,10-Jan-2025 06:00 PM,27-Jan-2025 11:00 AM,10-Jan-2025 06:00 PM,25-Jan-2025 05:00 PM,10-Jan-2025 06:00 PM ,24-Jan-2025 05:00 PM ,10-Jan-2025 06:00 PM,25-Jan-2025 05:00 PM,04-Mar-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-14 OF 2024-25,2024_CERWI_108824_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,CCE RW Circle Sundargarh.,O/O The CCE RW Circle Sundargarh.,"2,26,668",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC, PAN, GST ETC",PR-SNG-08 OF 2024-25,PR-SNG-08 OF 2024-25,Please refer Tender documents. ,NA ,"2,26,66,806",Civil Works - Roads,NA ,Tender,90.0,180.0,Sundargarh,770020.0,NA ,NA ,NA ,O/O The CCE RW Circle Sundargarh.,No ,No,AOC
,,,,,,,,,,,,,,,,,,,2,2776015,Binod Kumar Agrawal,25-Jan-2025 03:27 PM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Machinaries, turnover ond other documents as per DTCN",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,2772787,JAGADAMBA CONSTRUCTION,23-Jan-2025 08:51 PM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,2775168,JAYANTA KUMAR NAIK,24-Jan-2025 05:15 PM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,2774601,JK CONSTRUCTION,24-Jan-2025 06:58 PM,Rejected-Technical,Wrong affidavit submitted by the tenderer.,01-Mar-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,2765030,M/s ANUP ROY,23-Jan-2025 02:08 AM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,2757020,M/s Roy Construction Group,22-Jan-2025 07:48 PM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,2770308,Prafulla Kumar Ratha,23-Jan-2025 01:28 PM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,2775568,Raghunandan Agrawal,25-Jan-2025 11:13 AM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,2776473,SOBIKA AGRAWAL,25-Jan-2025 02:52 PM,Accepted-AOC,Successful bidder by lottery,05-Aug-2025 12:13 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,11,2775278,SRINIBAS PRADHAN,25-Jan-2025 12:43 PM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,12,2768721,SUDHIR KUMAR SAIDEO,22-Jan-2025 06:18 PM,Rejected-Finance,Not Qualified,29-Mar-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
