S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2881633.0,TECHNO TRADING CORPORATION,INR,"1,409,023",Technical,Accepted,AMRUTA KUMAR BAGH,15-May-2025 11:55 AM,technical_534890.pdf,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,2025_OLIC_112089_17,BID ID NO. 4142 (OLIC/2024-25) DATED 18.03.2025,Revival of Chakabrahmanasahi RL LIP under G B Nagar Block in Mayurbhanj District,Amruta Kumar Bagh,Internal,,AMRUTA KUMAR BAGH,20-Jun-2025 01:41 PM,finsummary_534890.pdf (2256.50 KB),1.0,Tender_Revocation_Corrigendum,Tender_Revocation_Corrigendum,14-May-2025 01:19 PM,Tender_Revocation_Corrigendum.pdf ,128.5,Technical Opening,Amruta Bagh,Internal,,AMRUTA KUMAR BAGH,16-May-2025 12:20 PM,17-May-2025 11:00 AM,techsummary_534890.pdf (2477.25 KB),Finance,Accepted,AMRUTA KUMAR BAGH,23-May-2025 01:00 PM,finance_534890.pdf,BOQ Comparative Chart,1,2881200,BHAVANI SHANKAR SAHU,11-Apr-2025 12:50 PM,Rejected-Finance,Due to above L2,20-Jun-2025 01:41 PM,04-Aug-2025,"INR 1,409,023",90.0,AMRUTA KUMAR BAGH,12-Aug-2025 01:48 PM,Chakabrahmanasahi.pdf (313.00 KB),AOC,Revival of Chakabrahmanasahi RL LIP under G B Nagar Block in Mayurbhanj District,Revival of Chakabrahmanasahi RL LIP under G B Nagar Block in Mayurbhanj District,Please refer Tender documents. ,NA ,"14,04,643",Civil Works - Lift Irrigation Schemes,NA ,Tender,365.0,90.0,Baripada,757002.0,NA ,NA ,NA ,EE MLI Division Baripada,No ,No,02-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,02-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,02-Apr-2025 11:00 AM ,09-Apr-2025 05:00 PM ,02-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,17-May-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Tender paper Cost EMD GST PAN Civil HT License Experience Joint Venture etc as per DTCN,EE MLI Division Baripada,EE MLI Division Baripada In front of stadium Bhonjpur Baripada Mayurbhanj 757002,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,BID ID NO. 4142 (OLIC/2024-25) DATED 18.03.2025,2025_OLIC_112089_17,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"14,046",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"7,080",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2880814,GOPINATH DAS,11-Apr-2025 01:37 PM,Rejected-Finance,Due to above L2,20-Jun-2025 01:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2881277,Jugal Kishor sabar,11-Apr-2025 01:47 AM,Rejected-Finance,Due to above L2,20-Jun-2025 01:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2880321,MAHASWETA DHADA,11-Apr-2025 12:34 PM,Rejected-Finance,Due to above L2,20-Jun-2025 01:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2882128,M/S.BAISAKHI CONSTRUCTION PVT.LTD,11-Apr-2025 01:17 PM,Rejected-Finance,Due to above L2,20-Jun-2025 01:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2880964,MS SAI ENGINEERING & COMPANY,10-Apr-2025 06:38 PM,Rejected-Finance,Due to above L2,20-Jun-2025 01:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2882070,NABIN KUMAR PAL,11-Apr-2025 03:33 PM,Rejected-Finance,Due to above L2,20-Jun-2025 01:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2880678,NIRANJAN BEHERA,11-Apr-2025 09:32 AM,Rejected-Finance,Due to above L2,20-Jun-2025 01:41 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2880484,RANJITA SA,11-Apr-2025 11:49 AM,Rejected-AOC,L2,12-Aug-2025 01:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2881633,TECHNO TRADING CORPORATION,11-Apr-2025 01:45 AM,Accepted-AOC,L1,12-Aug-2025 01:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
