Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Municipal Bodies||Balangir Municipality,BLGRMPTY/14(01-133)/2023-24,2024_ORULB_102384_103,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,12-Mar-2024 10:00 AM,22-Mar-2024 11:00 AM,12-Mar-2024 10:00 AM,21-Mar-2024 05:00 PM,NA ,NA ,12-Mar-2024 10:00 AM,21-Mar-2024 05:00 PM,"4,000",0.0,Nil,Nil,No,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,"Construction of Drain and Culvert from Kumbhar Babu Res. to Dash Babu, C.S. Nagar, Ward No.21","Drain with Cover Slab,Culvert work",Please refer Tender Documents  ,NA ,"8,00,000",Civil Works - Others,NA ,Tender,180.0,90.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,"8,000",Yes,percentage,1.0%,Nil,Nil,AOC,Municipal Bodies||Balangir Municipality,2024_ORULB_102384_103,BLGRMPTY/14(01-133)/2023-24,"Construction of Drain and Culvert from Kumbhar Babu Res. to Dash Babu, C.S. Nagar, Ward No.21",1,2483724,RAJENDRA PUROHIT,21-Mar-2024 01:41 PM,Rejected-Finance,other then L1 Bidder,24-Sep-2024 06:53 PM,1.0,2483576.0,SUJIT KUMAR KHUAS,INR,"673,905.07","Smt.Lika Sahu,Chairperson,Balangir Municipality",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Biswambhar Mishra,24-Sep-2024 06:53 PM,finsummary_499101.pdf (188.20 KB),Finance,2 Nos. of bidders have participated,Rojalisa Rout,25-Jun-2024 07:53 PM,,BOQ Comparative Chart,"Smt.Lika Sahu,Chairperson,Balangir Municipality",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Biswambhar Mishra,24-Sep-2024 06:50 PM,techsummary_499101.pdf (565.34 KB),02-Aug-2025,"INR 673,905.07",90.0,Rojalisa Rout,02-Aug-2025 08:36 PM,wo103.pdf (513.00 KB),"Sri Sujit Kumar Khuas seleted as L1 for Construction of Drain and Culvert from Kumbhar Babu Res. to Dash Babu, C.S. Nagar, Ward No.21",AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,2483576,SUJIT KUMAR KHUAS,21-Mar-2024 12:52 PM,Accepted-AOC,L1,02-Aug-2025 08:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
