S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,2772588.0,DEBI PRASAD DAS,INR,"5,950,340",City Engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,06-Aug-2025 04:22 PM,finsummary_524345.pdf (924.21 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_109157_5,BMC-EE-Tender Cell-56/2024-25 Dt. 04.01.2025,"Construction of RCC Box drain wall and culvert from Mahadev timber to C-Lee photo studio, Laxmisagar CTC road to Drain no 5 in ward no. 42",Technical,2 bids opened successfully,Lipsa Parida,28-Jan-2025 12:26 PM,technical_524345.pdf,Finance,2 bids opened successfully,Lipsa Parida,01-Mar-2025 04:13 PM,finance_524345.pdf,BOQ Comparative Chart,1,2772588,DEBI PRASAD DAS,27-Jan-2025 02:26 PM,Accepted-AOC,1st lowest,06-Aug-2025 04:27 PM,06-Aug-2025,"INR 5,950,340",180.0,Lipsa Parida,06-Aug-2025 04:27 PM,wo_537_24.pdf (1540.00 KB),AOC,"Construction of RCC Box drain wall and culvert from Mahadev timber to C-Lee photo studio, Laxmisagar CTC road to Drain no 5 in ward no. 42","Construction of RCC Box drain wall and culvert from Mahadev timber to C-Lee photo studio, Laxmisagar CTC road to Drain no 5 in ward no. 42",Please refer Tender documents. ,NA ,"59,31,844",Civil Works - Others,NA ,Tender,120.0,180.0,BMC Area,751022.0,"UG floor,Central Tender Cell,BMC, ICOMC Tower ","UG floor,Central Tender Cell,BMC, ICOMC Tower ",16-Jan-2025 12:00 PM ,"Central Tender Cell,BMC",No ,No,1,ICICI BANK,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-56/2024-25 Dt. 04.01.2025,2025_ORULB_109157_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Scanned copies of all documents,"10,000",0.0,Nil,Nil,No,10-Jan-2025 04:00 PM,28-Jan-2025 11:30 AM,10-Jan-2025 04:00 PM,27-Jan-2025 05:00 PM,10-Jan-2025 04:00 PM ,15-Jan-2025 04:00 PM ,10-Jan-2025 04:00 PM,27-Jan-2025 05:00 PM,01-Mar-2025 03:30 PM,"59,400",Yes,fixed,,Nil,Nil,Executive Engineer (Central Tender Cell),"UG floor,Central Tender Cell,BMC, ICOMC Tower",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,2772807,PURUSOTTAM BEHERA,23-Jan-2025 05:34 PM,Rejected-Finance,other than 1st lowest,06-Aug-2025 04:22 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
