Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
CHIEF CONSTRUCTION ENGINEER,Chief Construction Engineer Jeypore R and B circle Jeypore,"7,87,000",Yes,fixed,,Nil,Nil,06-Feb-2025 11:00 AM,21-Feb-2025 10:00 AM,06-Feb-2025 11:00 AM,20-Feb-2025 05:00 PM,NA ,NA ,06-Feb-2025 11:00 AM,20-Feb-2025 05:00 PM,20-Mar-2025 11:30 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GST Registration Certificate and GSTIN, PAN, Contractor RC","Construction of proposed G plus 1 Storied Sanskruti Bhawan-Cum-District Culture Office, Koraput for the year 2024-25",CIVIL WORKS,Please refer Tender documents. ,NA ,"7,86,93,434",Civil Works - Buildings,BUILDING ,Tender,90.0,360.0,KORAPUT,764020.0,NA ,NA ,NA ,O/O C.C.E R and B Circle Jeypore,No ,No,EIC-CIVIL||SERNB-CIRCLE-JEYPORE,CCEJC R AND B 11/2024-25,2025_EICCL_110185_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2826056,ARYA PRAKASH CHAMPATIRAY,19-Feb-2025 06:01 PM,Rejected-Finance,THIRD LOWEST BIDDER,20-Aug-2025 05:29 PM,20-Aug-2025,"INR 66,897,288",360.0,Biswanath Marndi,20-Aug-2025 05:34 PM,SanskrutiBhawanAOC.pdf (1442.00 KB),FIRST LOWEST BID OF SRI NANU AGRAWAL,Finance,Price bid of the above bidders Downloaded.,Subhendu Subhadarsan Dash,21-Mar-2025 11:48 AM,finance_528600.pdf,BOQ Comparative Chart,BISWANATH MARNDI,Internal,"Sri Subhakanta Barik S.E Koraput R and B Division, DAO Koraput R and B Division and Sri Krushna Chandra Sahu E.E. Jeypore R and B Circle.",Subhendu Subhadarsan Dash,19-Mar-2025 04:23 PM,20-Mar-2025 11:30 AM,techsummary_528600.pdf (408.82 KB),BISWANATH MARNDI,Internal,,Biswanath Marndi,20-Aug-2025 05:29 PM,finsummary_528600.pdf (2364.15 KB),Technical,ABOVE BIDDERS ARE PROVISIONALLY QUALIFIED FOR TECHNICAL EVALUATION.,Ashok Kumar Behera,07-Mar-2025 05:41 PM,technical_528600.pdf,EIC-CIVIL||SERNB-CIRCLE-JEYPORE,2025_EICCL_110185_2,CCEJC R AND B 11/2024-25,"Construction of proposed G plus 1 Storied Sanskruti Bhawan-Cum-District Culture Office, Koraput for the year 2024-25",1.0,2828079.0,NANU AGRAWAL,INR,"66,897,288",AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Affidavit Undertakings and Other Documents as per SBD/DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2822238,AVAYA KUMAR SWAIN,18-Feb-2025 05:32 PM,Rejected-Technical,10(i) of DTCN,19-Mar-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2827922,Dhiraj Kumar Agrawal,20-Feb-2025 03:51 PM,Rejected-Technical,11 of DTCN,19-Mar-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2826237,KAILASH CHANDRA LENKA,19-Feb-2025 07:57 PM,Rejected-Finance,THIRD LOWEST BIDDER,20-Aug-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2821176,m/s Ranjeet Kumar Sahu,18-Feb-2025 10:29 PM,Rejected-Finance,THIRD LOWEST BIDDER,20-Aug-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2828079,NANU AGRAWAL,20-Feb-2025 04:44 PM,Accepted-AOC,FIRST LOWEST BIDDER,20-Aug-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2825119,PRAKASH KUMAR NAHAK,18-Feb-2025 11:50 PM,Rejected-Finance,SECOND LOWEST BIDDER,20-Aug-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2827836,Raghunandan Agrawal,20-Feb-2025 03:02 PM,Rejected-Technical,10(i) of DTCN,19-Mar-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2823488,RAMESH CHANDRA BISWAL,17-Feb-2025 10:32 PM,Rejected-Finance,THIRD LOWEST BIDDER,20-Aug-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2827906,RASMITA BHATTA,20-Feb-2025 03:36 PM,Rejected-Technical,116 (ii) of DTCN,19-Mar-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2828006,SILADITYA BEHERA,20-Feb-2025 04:57 PM,Rejected-Finance,THIRD LOWEST BIDDER,20-Aug-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
