S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2961818.0,BAPINA SAHOO,INR,"403,642","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2025_CELBB_113941_20,e-Procurement Notice No.- 01 of 2025-26,"NID-20- M/R to Chhaitana Disty., Inchala Minor, Inchera Minor, Kabirajpur Sub-Minor and Itibhuan Sub-Minor.",1,2952518,BAILOCHAN SAHOO,10-Jun-2025 08:48 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,25-Aug-2025,"INR 403,642",120.0,Baikuntha Dalai,25-Aug-2025 05:25 PM,NID20.pdf (1053.00 KB),"L1 bid of Sri BAPINA SAHOO selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",Finance,All the bids are downloaded successfully.,Sangram Keshari Mohanty,19-Jun-2025 01:46 PM,finance_541534.pdf,BOQ Comparative Chart,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",Baikuntha Dalai,24-Jul-2025 02:04 PM,finsummary_541534.pdf (2628.29 KB),"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",Sangram Keshari Mohanty,23-Jul-2025 08:02 PM,techsummary_541534.pdf (24.35 KB),AOC,1.0,ICICI BANK,"4,800",Yes,fixed,,Nil,Nil,"Superintending Engineer., Nimapara Irr Divn.","Office of the Superintending Engineer Nimapara Irrigation Division, Nimapara Dist- Puri",02-Jun-2025 11:00 AM,16-Jun-2025 11:00 AM,02-Jun-2025 11:00 AM,13-Jun-2025 05:30 PM,02-Jun-2025 11:00 AM ,10-Jun-2025 05:30 PM ,02-Jun-2025 11:00 AM,13-Jun-2025 05:30 PM,"NID-20- M/R to Chhaitana Disty., Inchala Minor, Inchera Minor, Kabirajpur Sub-Minor and Itibhuan Sub-Minor.","M/R to Chhaitana Disty., Inchala Minor, Inchera Minor, Kabirajpur Sub-Minor and Itibhuan Sub-Minor.",Please refer Tender Documents ,NA ,"4,74,817",Civil Works - Canal,Canal ,Tender,90.0,120.0,Nimapara,752106.0,NA ,NA ,NA ,"S.E., Nimapara Irr Divn. Nimapara",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN Contractor R.C Affidavits Undertakings and any other document as per SBD/DTCN,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",e-Procurement Notice No.- 01 of 2025-26,2025_CELBB_113941_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,2961818,BAPINA SAHOO,11-Jun-2025 04:21 PM,Accepted-AOC,"L1 bid of Sri BAPINA SAHOO selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",25-Aug-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2956038,BATAKRUSHNA NISHANK,08-Jun-2025 06:11 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2960958,DIPAK KUMAR SAHOO,12-Jun-2025 07:19 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2956150,GADADHAR SAMANTARA,12-Jun-2025 03:47 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2963449,HEMANTA KUMAR MOHANTY,13-Jun-2025 09:49 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2957844,JAYANTA KUMAR BEHERA,09-Jun-2025 03:39 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2964668,JHILLI MALLICK,12-Jun-2025 06:49 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2956446,KRUSHNA CHANDRA SWAIN,10-Jun-2025 10:19 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2965283,MAA ENTERPRISE,13-Jun-2025 01:01 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,2956370,MAA RATNACHUDI CONSTRUCTION,12-Jun-2025 12:19 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,2959996,NIRANJAN SWAIN,12-Jun-2025 07:40 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,13,2959254,PABITRA KUMAR ROUT,12-Jun-2025 04:43 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,14,2951474,PABITRA MOHAN SAHOO,07-Jun-2025 06:38 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,15,2962456,PARTHA SARATHI BEHURA,13-Jun-2025 08:13 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,16,2955974,PRASANT KUMAR PRADHAN,08-Jun-2025 07:50 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,17,2959450,PRATAP CHANDRA SWAIN,10-Jun-2025 02:25 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,18,2951546,PRATIMA NAYAK,06-Jun-2025 08:04 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,19,2954487,PRATIMA PRADHAN,12-Jun-2025 11:13 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,20,2958157,RAJKISHORE NAYAK,10-Jun-2025 11:11 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,21,2964244,RAJKISHOR SWAIN,13-Jun-2025 06:15 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,22,2957076,RANJITA BISWAL,11-Jun-2025 08:42 AM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,23,2962746,RASMI RANJAN PRADHAN,13-Jun-2025 01:45 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,24,2955276,RATNAKAR NISANKA,11-Jun-2025 04:16 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,25,2950815,ROJALINI ROUT,10-Jun-2025 04:40 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,26,2960783,SANATAN KANDI,12-Jun-2025 11:13 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,27,2965511,SASMITA JENA,13-Jun-2025 01:40 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,28,2959374,SASMITA MOHANTY,11-Jun-2025 12:15 PM,Rejected-Finance,Not won in the transparent Lottery,24-Jul-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
