Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
EE,Internal,"EE, DAO AND ESTIMATOR",Sasmita Munduri,21-Jun-2025 04:42 PM,26-Jun-2025 11:00 AM,techsummary_541001.pdf (486.23 KB),Finance,TECHNICAL EVALUATION COMMITTEE,Sasmita Munduri,01-Aug-2025 06:04 PM,finance_541001.pdf,BOQ Comparative Chart,01-Aug-2025,"INR 5,443,327",180.0,Sasmita Munduri,01-Aug-2025 06:08 PM,4245.pdf (669.00 KB),10P1 OF 2025-26,1,2945474,ANIL KUMAR PRUSTY,31-May-2025 06:05 PM,Accepted-AOC,AOC,01-Aug-2025 06:08 PM,1.0,2945474.0,ANIL KUMAR PRUSTY,INR,"5,443,327",Technical,Technical Evaluation committee,Sasmita Munduri,21-Jun-2025 04:17 PM,technical_541001.pdf,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_113818_1,TENDERONLINEDNAYAGARH12526,Construction of 2 nos E type Qtr at Godipada under Odagaon Block for the year 2024-25,EE,Internal,"EE, DAO AND ESTIMATOR",Sasmita Munduri,01-Aug-2025 06:06 PM,finsummary_541001.pdf (486.23 KB),AOC,Construction of 2 nos E type Qtr at Godipada under Odagaon Block for the year 2024-25,Construction of 2 nos E type Qtr at Godipada under Odagaon Block for the year 2024-25,NA ,NA ,"64,03,161",Civil Works - Buildings,NA ,Tender,90.0,180.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH12526,2025_CERWI_113818_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"64,032",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH",24-May-2025 11:00 AM,05-Jun-2025 11:00 AM,24-May-2025 11:00 AM,04-Jun-2025 05:30 PM,24-May-2025 11:00 AM ,04-Jun-2025 05:30 PM ,24-May-2025 11:00 AM,04-Jun-2025 05:30 PM,26-Jun-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,DTCN.pdfvalidPANGSTContractorlicenceetcasDTCN,AOC
,,,,,,,,,,,,,,,,,,,,2,2950827,M/S SILICON INTERIORS,04-Jun-2025 04:14 PM,Rejected-AOC,L1,01-Aug-2025 06:08 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ.XLS,AOC
,,,,,,,,,,,,,,,,,,,,3,2946961,PRABIN KUMAR PATRA,01-Jun-2025 05:52 PM,Rejected-AOC,L1,01-Aug-2025 06:08 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
