EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"3,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid document,1,ICICI BANK,"SE, ACD, Salapada",Superintending Engineer Anandapur Canal Division Salapada,"CCE,Anandapur Barrage Project||CCE,Anandapur",SEACD-06 of 2024-25,2025_CCEAB_109539_1,Yes,National Competitive Bid,Lump-sum,Services,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,Engagement of Amin for the work survey and land acquisition of Baitarani Right Bank Canal from RD 0km to 9 km and Salandi Left Main Canal from RD 16.08km to RD 30.547km under AIBP for the period from 01.02.2025 to 31.12.2025.,Engagement of Amin for the work survey and land acquisition of Baitarani Right Bank Canal from RD 0km to 9 km and Salandi Left Main Canal from RD 16.08km to RD 30.547km under AIBP for the period from 01.02.2025 to 31.12.2025.,Please refer Tender documents. ,NA ,"3,43,200",Miscellaneous Services,NA ,Tender,90.0,333.0,"Office of SE, Anandapur Canal Division, Salapada",758020.0,NA ,NA ,NA ,SALAPADA,No ,No,18-Jan-2025 10:30 AM,28-Jan-2025 11:00 AM,18-Jan-2025 10:30 AM,27-Jan-2025 05:00 PM,18-Jan-2025 10:30 AM ,24-Jan-2025 10:30 AM ,18-Jan-2025 10:30 AM,27-Jan-2025 05:00 PM,1.0,Technical Corrigendum,Technical Bid,,AOC,1,2772386,M/s. Shantiram Agency,23-Jan-2025 02:00 PM,Rejected-AOC,2nd lowest,14-Aug-2025 05:08 PM,14-Aug-2025,"INR 367,224",333.0,Manas Ranjan Mandal,14-Aug-2025 05:08 PM,6.pdf (725.00 KB),SE ACD,Internal,,Manas Ranjan Mandal,14-Aug-2025 04:51 PM,techsummary_526305.pdf (725.39 KB),SE ACD,Internal,,Manas Ranjan Mandal,14-Aug-2025 05:00 PM,finsummary_526305.pdf (725.39 KB),"CCE,Anandapur Barrage Project||CCE,Anandapur",2025_CCEAB_109539_1,SEACD-06 of 2024-25,Engagement of Amin for the work survey and land acquisition of Baitarani Right Bank Canal from RD 0km to 9 km and Salandi Left Main Canal from RD 16.08km to RD 30.547km under AIBP for the period from 01.02.2025 to 31.12.2025.,1.0,2772294.0,Swarna Prava Mahakud,INR,"367,052.4",Finance,Summary Uploaded,SUBHRANSHU DWIBEDI,28-Jan-2025 12:04 PM,finance_526305.pdf,BOQ Comparative Chart,AOC
,,,,,,,,.xls,BoQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2772294,Swarna Prava Mahakud,23-Jan-2025 01:13 PM,Accepted-AOC,1st lowest,14-Aug-2025 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
