Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Improvement to head work of Radhasagar MIP in Gosani Block of Gajapati District under Imp. To Tank and MIPs Scheme 2024-25,Improvement to head work of Radhasagar MIP in Gosani Block of Gajapati District under Imp. To Tank and MIPs Scheme 2024-25,Please refer Tender documents ,NA ,"35,90,508",Civil Works - Others,NA ,Tender,60.0,180.0,Gosani,761200.0,NA ,NA ,NA ,"O/o Superintending Engineer,M.I.Division,Gajapati",No ,No,28-Apr-2025 05:00 PM,12-May-2025 11:00 AM,28-Apr-2025 05:00 PM,10-May-2025 05:30 PM,28-Apr-2025 05:00 PM ,06-May-2025 05:30 PM ,28-Apr-2025 05:00 PM,10-May-2025 05:30 PM,"6,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",MIDGJP-01/2025-26,2025_CEMIB_112864_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD (Online) RC, PAN, active GSTN, affidavit other documents and forms as per DTCN",1.0,Due Date Extended for tenders closing on 06-05-2025.,Admin Corrigendum Date Extend,,"36,000",Yes,fixed,,Nil,Nil,SUPERINTENDING ENGINEER,"O/o Superintending Engineer,M.I.Division, Gajapati Paralakhemundi",1.0,ICICI BANK,AOC,1,2905146,BEJIPURAM KHAGESWAR RAO,04-May-2025 03:51 PM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,31-Aug-2025,"INR 3,590,508",180.0,Simachala Satapathy,31-Aug-2025 07:48 AM,Radhasagar.pdf (423.00 KB),simachala satapathy,Internal,,Simachala Satapathy,31-Aug-2025 07:07 AM,techsummary_537819.pdf (21.20 KB),simachala satapathy,Internal,,Simachala Satapathy,31-Aug-2025 07:21 AM,finsummary_537819.pdf (43.30 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_112864_6,MIDGJP-01/2025-26,Improvement to head work of Radhasagar MIP in Gosani Block of Gajapati District under Imp. To Tank and MIPs Scheme 2024-25,1.0,2906739.0,EPPILI MANMADHA RAO,INR,"3,052,290.85",Finance,25 NOS ARE BIDDER PARTICPATED IT THIS TENDER,Simachala Satapathy,31-Aug-2025 06:53 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2902649,Bijaya Kumar Pradhan,01-May-2025 08:18 PM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2905985,Bongu Tirupati Rao,05-May-2025 01:33 PM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2907229,CHUMUKI PANIGRAHY,06-May-2025 05:10 PM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2906777,D.HARISH KUMAR,06-May-2025 10:53 AM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2906739,EPPILI MANMADHA RAO,06-May-2025 05:21 PM,Accepted-AOC,selected through lottery system as a 1sowest successfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2905456,GANESH SWAIN,05-May-2025 10:53 PM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2905417,HUTTASAN APPATO,05-May-2025 10:08 PM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2904252,LAKSHMI SAHU,03-May-2025 01:31 PM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2904822,MADAN GOUDA,03-May-2025 10:42 PM,Rejected-AOC,unsuccessfully,31-Aug-2025 07:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
