EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"48,500",Yes,fixed,,Nil,Nil,"S.E., Berhampur Irr. Divn., Berhampur","S.E., Berhampur Irr. Divn., Courtpeta, Berhampur",Renovation of VRB at RD 59530 m of Rushikulya Main Canal of Rushikulya Irrigation System.,Renovation of VRB,Please refer Tender documents. ,NA ,"48,18,000",Civil Works - Canal,NA ,Tender,90.0,180.0,Berhampur,760004.0,NA ,NA ,NA ,"O/o S.E., Berhampur Irr. Divn., Berhampur",No ,No,03-Jun-2025 10:00 AM,13-Jun-2025 11:00 AM,03-Jun-2025 10:00 AM,12-Jun-2025 05:30 PM,03-Jun-2025 10:00 AM ,10-Jun-2025 05:30 PM ,03-Jun-2025 10:00 AM,12-Jun-2025 05:30 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, Registration Certificate, GSTIN, PAN, Other documents as per DTCN","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",e-BEID-01/2025-26,2025_CEBMB_114100_53,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Nalin Pattanaik,Internal,,CHANDINI KUMARI BASANTY,28-Jun-2025 12:10 PM,finsummary_541984.pdf (61.67 KB),Nalin Pattanaik,Internal,,CHANDINI KUMARI BASANTY,25-Jun-2025 12:43 PM,techsummary_541984.pdf (61.67 KB),1.0,2962765.0,G. Monali Dora,INR,"4,095,830","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",2025_CEBMB_114100_53,e-BEID-01/2025-26,Renovation of VRB at RD 59530 m of Rushikulya Main Canal of Rushikulya Irrigation System.,1,2955790,AMARESWARA SATAPATHY,08-Jun-2025 01:00 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,15-Aug-2025,"INR 4,095,830",180.0,Nalin Kumar Patnaik,16-Aug-2025 12:34 PM,AOC_53.pdf (479.00 KB),Award to the Lottery Winner.,Finance,Sixteen bids downloaded Successfully.,Sucharita Panda,13-Jun-2025 05:17 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2963939,Aswin Kumar Mahankuda,12-Jun-2025 02:15 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2964439,B.Kamal Kiran Rao,12-Jun-2025 05:00 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2962268,Brajamohan Palo,11-Jun-2025 07:09 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2955473,ESWA RADHESYAM,09-Jun-2025 03:08 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2962765,G. Monali Dora,11-Jun-2025 11:35 PM,Accepted-AOC,Lottery Winner,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2962810,MAA KUTHARI ASSOCIATES,12-Jun-2025 10:38 AM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2963936,Manoj Kumar Sabat,12-Jun-2025 02:15 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2960855,PRABHATA KUMAR NAYAK,11-Jun-2025 09:28 AM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2956306,RAPAN KUMAR NAHAK,08-Jun-2025 02:08 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:35 PM,,,,,,,,,,,,,,AOC
