Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
06-Nov-2024 06:00 PM,22-Nov-2024 11:00 AM,06-Nov-2024 06:00 PM,21-Nov-2024 05:00 PM,06-Nov-2024 06:00 PM ,20-Nov-2024 05:00 PM ,06-Nov-2024 06:00 PM,21-Nov-2024 05:00 PM,10-Feb-2025 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Registration certificate,GSTIN,PAN,Affidavits etc",CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-10 OF 2024-25,2024_CERWI_106457_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of primary school hostel building of Khuntgaon Nodal upper primary school at khuntgaon in Nuagaon Block under DMF in the district of Sundargarh for the year 2023-24.,Construction of primary school hostel building of Khuntgaon Nodal upper primary school at khuntgaon in Nuagaon Block under DMF in the district of Sundargarh for the year 2023-24.,Please refer Tender documents. ,NA ,"2,35,13,172",Civil Works - Buildings,NA ,Tender,90.0,270.0,Rourkela,769004.0,NA ,NA ,NA ,"Office of the C.C.E.,R.W. Circle ,Sundargarh",No ,No,"10,000",0.0,Nil,Nil,No,"C.C.E.,R.W. Circle ,Sundargarh","Office of the C.C.E.,R.W. Circle ,Sundargarh","2,35,132",Yes,percentage,1.0%,Nil,Nil,AOC,1,2658178,AJAY KUMAR AGRAWAL,21-Nov-2024 03:29 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,05-Aug-2025,"INR 23,513,172.3",270.0,Binata Kishan,05-Aug-2025 12:52 PM,Khuntgaon.pdf (267.00 KB),Finance,Nineteen nos of bidder only.,Binata Kishan,10-Feb-2025 05:01 PM,finance_514760.pdf,BOQ Comparative Chart,K.C.Khatua,Internal,,Kishore Chandra Khatua,07-Feb-2025 02:19 PM,10-Feb-2025 11:00 AM,techsummary_514760.pdf (865.61 KB),K.C Khatua,Internal,,Kishore Chandra Khatua,19-Mar-2025 01:48 PM,finsummary_514760.pdf (405.44 KB),Technical,19 Nos. of Bidders,Haripriya Pradhan,26-Nov-2024 10:56 AM,,CE RW I||RW-CIRCLE-SUNDARGARH,2024_CERWI_106457_5,RWCCESNG-10 OF 2024-25,Construction of primary school hostel building of Khuntgaon Nodal upper primary school at khuntgaon in Nuagaon Block under DMF in the district of Sundargarh for the year 2023-24.,1.0,2656809.0,SATHVIK CONSTRUCTIONS,INR,"19,988,547.77",AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Annual turnover, work experience, machinaries and other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2654854,AJAY KUMAR SAHU,19-Nov-2024 08:25 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2657975,AJAY KUMAR YADAV,21-Nov-2024 02:21 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2655981,BIJAYA KUMARA JAISWAL,20-Nov-2024 02:03 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2656818,DEEPAK SAHOO,20-Nov-2024 08:08 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2648890,ENGICONS ASSOCIATES,21-Nov-2024 01:01 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2657885,KANAK INFRASTRUCTURE,21-Nov-2024 01:59 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2657525,MRUNMAYA KUMAR BEHURA,21-Nov-2024 12:14 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2657862,M/S GUGUSYS SMART SOLUTIONS PRIVATE LIMITED,21-Nov-2024 01:56 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2651495,M/S SINDHU ENTERPRISES PROP - GEETA MARY BARLA,19-Nov-2024 01:12 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
