Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Kendrapara Municipality,01/KM 2024-25,2024_ORULB_105463_60,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Paver road from Pandu Babu house to Arnnada Prasad house in ward No-17,Construction of Paver road from Pandu Babu house to Arnnada Prasad house in ward No-17,Please refer Tender documents. ,NA ,"2,74,025",Civil Works - Roads,NA ,Tender,120.0,60.0,kendrapara municipality,754211.0,NA ,NA ,NA ,kendrapara municipality,No ,No,15-Oct-2024 04:00 PM,28-Oct-2024 11:00 AM,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,15-Oct-2024 04:00 PM ,26-Oct-2024 05:00 PM ,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,documents as per dtcn,"2,000",0.0,Nil,Nil,No,executive officer,kendrapara municipality,"2,740",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,AOC,Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,11-Aug-2025 09:23 PM,finsummary_509727.pdf (518.03 KB),Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,11-Aug-2025 09:20 PM,techsummary_509727.pdf (518.03 KB),11-Aug-2025,"INR 273,998.26",30.0,Suryakanta Nayak,11-Aug-2025 09:27 PM,manoranjan.pdf (518.00 KB),Manoranjan Mallick is the lowest one,Municipal Bodies||Kendrapara Municipality,2024_ORULB_105463_60,01/KM 2024-25,Construction of Paver road from Pandu Babu house to Arnnada Prasad house in ward No-17,1.0,2593979.0,MANORANJAN MALLICK (S.C),INR,"273,998.26",1,2593979,MANORANJAN MALLICK (S.C),26-Oct-2024 03:38 PM,Accepted-AOC,Manoranjan Mallick is the lowest one,11-Aug-2025 09:28 PM,Finance,ok,Suryakanta Nayak,09-Dec-2024 07:58 PM,finance_509727.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2594034,SK ABDULLA,26-Oct-2024 03:57 PM,Rejected-Finance,Lowest Two,11-Aug-2025 09:23 PM,,,,,,,AOC
