S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,11-Jun-2025 09:55 AM,25-Jun-2025 11:30 AM,11-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,NA ,NA ,11-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,18-Jul-2025 11:30 AM,1,Fee/PreQual/Technical,.pdf,DTCN,"5,54,093",Yes,fixed,,Nil,Nil,"Construction of infrastructure and developmental work at Bargarh ( Krushaka Bazar ) under RMC, Bargarh","Vending zone, vegetable market, meat market, cafeteria, food court etc",Please refer Tender documents. ,NA ,"5,54,09,316",Civil Works - Buildings,NA ,Tender,90.0,180.0,"Krushaka Bazar under RMC, Bargarh",768028.0,NA ,NA ,NA ,"Office of RMC, Bargarh",No ,No,"10,000",Nil,Nil,No,"ADM,Bargarh-cum-Chairman,RMC,Bargarh","At- Gour Market, Ward No.14 Bargarh, P.S./Dist. Bargarh ( Odisha ) PIN 768028",Odisha State Agricultural Marketing Board||RMC Bargarh,RMC-Bargarh e-Procurment Notice No.01/2025-26,2025_OSAMB_114333_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,1st Corrigendum,Technical Bid,,AOC,Odisha State Agricultural Marketing Board||RMC Bargarh,2025_OSAMB_114333_2,RMC-Bargarh e-Procurment Notice No.01/2025-26,"Construction of infrastructure and developmental work at Bargarh ( Krushaka Bazar ) under RMC, Bargarh",Technical,The technical bid was opened today.Two nos of bidders have participated in online mode.The bid and other documents of the bidders were downloaded successfully.The bids will be scrutinized and evaluated by the members of TEC RMC Bargarh.,Madhu Chhanda Sahu,25-Jun-2025 04:55 PM,technical_542740.pdf,"ADM,Bargarh-cum-Chairman,RMC,Bargarh",Internal,"Secretary,RMC,Bargarh,Assistant Engineer,OSAM Board,Bhubaneswar,Junior Engineer,OSAM Board,Bhubaneswar and Accountant,RMC,Bargarh",Madhu Chhanda Sahu,22-Jul-2025 05:25 PM,finsummary_542740.pdf (743.12 KB),1.0,2973840.0,Mr Ramesh Chandra Sahoo,INR,"55,353,912.22",1,2973840,Mr Ramesh Chandra Sahoo,24-Jun-2025 01:55 PM,Accepted-AOC,L1 Bidder,12-Aug-2025 06:04 PM,11-Aug-2025,"INR 55,409,315.56",180.0,GOBINDA NAG,12-Aug-2025 06:04 PM,WorkorderKBRCS.pdf (664.00 KB),Work Order,"ADM,Bargarh-cum-Chairman,RMC,Bargarh",Internal,"Secretary,RMC,Bargarh,Assistant Engineer,OSAM Board,Bhubaneswar,Junior Engineer,OSAM Board,Bhubaneswar,Accountant,RMC,Bargarh",Madhu Chhanda Sahu,15-Jul-2025 06:21 PM,18-Jul-2025 11:30 AM,techsummary_542740.pdf (281.20 KB),Finance,Price bid opened. The bids were evaluated.,Madhu Chhanda Sahu,22-Jul-2025 05:07 PM,finance_542740.pdf,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,2,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2978872,SITANSU SEKHAR PANIGRAHI,24-Jun-2025 02:46 PM,Rejected-Finance,quoted 0.01 percent less than the tender value,22-Jul-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
