Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
PH works for construction of HWC Sub Centre building at Nandoor of Khaira block in the district of Balasore for the year 2023-24.,PH works for construction of HWC Sub Centre building at Nandoor of Khaira block in the district of Balasore for the year 2023-24.,Please refer Tender documents. ,NA ,"5,55,548",Civil Works - Buildings,NA ,Tender,90.0,NA ,Nandoor,756047.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,1.0,ICICI BANK,"5,600",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-40/2024-25,2025_CERWI_111988_38,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010",1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card.",02-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,02-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,AOC,Executive Engineer,Internal,,Anil Kumar Das,29-Jul-2025 01:14 PM,finsummary_534987.pdf (65.66 KB),Executive Engineer,Internal,,Anil Kumar Das,08-May-2025 12:03 PM,techsummary_534987.pdf (531.51 KB),29-Jul-2025,"INR 472,272",90.0,Anil Kumar Das,01-Aug-2025 01:31 PM,4663.pdf (312.00 KB),1,2881805,ARUN KUMAR NAYAK,11-Apr-2025 01:06 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,1.0,2878723.0,Krushnapriya Das,INR,"472,272",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_111988_38,EERWPH-40/2024-25,PH works for construction of HWC Sub Centre building at Nandoor of Khaira block in the district of Balasore for the year 2023-24.,Finance,comparative statement,Anil Kumar Das,19-Apr-2025 12:34 PM,finance_534987.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate.",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2881960,Bijay Kumar Barik,11-Apr-2025 12:25 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2882140,DEVI PRASAD MOHAPATRA,11-Apr-2025 03:21 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2880155,GOURANGA SETHI (S.C),09-Apr-2025 09:26 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2881784,JAYADRATH SHIAL (SC),11-Apr-2025 11:13 AM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2879222,KAPILA CHARAN MALIK,08-Apr-2025 06:23 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2878723,Krushnapriya Das,08-Apr-2025 11:32 AM,Accepted-AOC,Qualified in Transparency lottery,01-Aug-2025 01:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2879488,RAHASHMANI PANDA,09-Apr-2025 11:42 AM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2881966,UJJAWAL KUMAR NAYAK,11-Apr-2025 03:15 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2880231,UMAKANTA PANDA,09-Apr-2025 10:14 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:14 PM,,,,,,,,,,,,,,,,AOC
