S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,document as per dtcn,Executive officer,kendrapara Municipality,"19,918",Yes,percentage,1.0%,Nil,Nil,30-Mar-2023 11:00 AM,11-Apr-2023 11:00 AM,30-Mar-2023 11:00 AM,10-Apr-2023 05:00 PM,30-Mar-2023 11:00 AM ,10-Apr-2023 05:00 PM ,30-Mar-2023 11:00 AM,10-Apr-2023 05:00 PM,Municipal Bodies||Kendrapara Municipality,08/KM 2022-23,2023_ORULB_87280_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Extension of MRF-1 shed at-SUH campus of Kendrapara Municipality in ward No-12,Extension of MRF-1 shed at-SUH campus of Kendrapara Municipality in ward No-12,Please refer Tender documents. ,NA ,"19,91,847",Civil Works - Roads,NA ,Tender,135.0,60.0,kendrapara Municipality,754211.0,NA ,NA ,NA ,kendrapara Municipality,No ,No,AOC,Municipal Bodies||Kendrapara Municipality,2023_ORULB_87280_14,08/KM 2022-23,Extension of MRF-1 shed at-SUH campus of Kendrapara Municipality in ward No-12,Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,18-Aug-2025 09:06 AM,finsummary_432302.pdf (523.45 KB),Finance,ok,Suryakanta Nayak,19-Nov-2024 10:57 PM,,BOQ Comparative Chart,1.0,2110735.0,MD AWEZ ZAMAN,INR,"1,991,648.22",1,2110735,MD AWEZ ZAMAN,08-Apr-2023 10:08 PM,Accepted-AOC,Md Awez Zaman is the lowest bidder,18-Aug-2025 09:08 AM,18-Aug-2025,"INR 1,991,648.22",60.0,Suryakanta Nayak,18-Aug-2025 09:08 AM,mrf.pdf (523.00 KB),Md Awez Zaman is the lowest bidder,Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,20-Nov-2024 12:14 AM,techsummary_432302.pdf (138.94 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2111071,Suhana Parween,09-Apr-2023 09:48 PM,Rejected-Technical,Lowest Two,20-Nov-2024 12:14 AM,,,,,,,,,,,,,,AOC
