EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,10,700",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN","Chief Construction Engineer, R.W.Circle, BAM,","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",17-Mar-2025 06:55 PM,27-Mar-2025 11:00 AM,17-Mar-2025 06:55 PM,26-Mar-2025 05:30 PM,17-Mar-2025 06:55 PM ,24-Mar-2025 05:30 PM ,17-Mar-2025 06:55 PM,26-Mar-2025 05:30 PM,23-Apr-2025 11:00 AM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/33-2024-25/BPR,2025_CERWI_111724_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of NH-16 to Ralab road via Hanuman Nagar, Subham Vihar, Sri Vihar, Tripati Nagar road in the District of Ganjam under MMSY-TRIP for the year 2024-25","Construction of NH-16 to Ralab road via Hanuman Nagar, Subham Vihar, Sri Vihar, Tripati Nagar road in the District of Ganjam under MMSY-TRIP for the year 2024-25",Please refer Tender documents. ,NA ,"6,10,61,000",Civil Works - Roads,NA ,Tender,90.0,300.0,Ganjam,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM,",No ,No,AOC,13-Aug-2025,"INR 51,907,617",300.0,Lopamudra Dalai,16-Aug-2025 12:40 PM,Ralaba.pdf (522.00 KB),1,2863731,Akshya Kumar Dash,25-Mar-2025 10:37 AM,Accepted-AOC,Successful bidders after lottery system,16-Aug-2025 12:40 PM,"Er. N.K.Das, CCE, RWC, BAM",Internal,"Asst Engineer, R.W.Circle,BAM P.A. to CCE, R.W.Circle, BAM SE, R.W.Divn-II, Gm, BAM",Swagatika Rauto,17-Apr-2025 12:32 PM,23-Apr-2025 11:00 AM,techsummary_533433.pdf (716.70 KB),Finance,Documents to be verified,Lopamudra Dalai,23-Apr-2025 07:33 PM,finance_533433.pdf,BOQ Comparative Chart,Technical,Documents to be verified,Lopamudra Dalai,03-Apr-2025 01:02 PM,technical_533433.pdf,CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_111724_2,Online Tender/33-2024-25/BPR,"Construction of NH-16 to Ralab road via Hanuman Nagar, Subham Vihar, Sri Vihar, Tripati Nagar road in the District of Ganjam under MMSY-TRIP for the year 2024-25","Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Lopamudra Dalai,16-May-2025 12:17 PM,finsummary_533433.pdf (673.76 KB),1.0,2863731.0,Akshya Kumar Dash,INR,"51,907,617",AOC
,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2869446,BISWAJIT PANDA,26-Mar-2025 03:49 PM,Rejected-AOC,1st Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2868937,B LAXMI NARYANA,26-Mar-2025 11:50 AM,Rejected-AOC,1st Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2869432,Charan Behera,26-Mar-2025 03:35 PM,Rejected-AOC,3rd Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2869069,MANTU KUMAR PATTNAYAK,26-Mar-2025 12:38 PM,Rejected-AOC,1st Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2869134,M/s GEETA LAXMI CONSTRUCTIONS,26-Mar-2025 01:12 PM,Rejected-AOC,1st Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2869358,M/s GHANASHYAM CONSTRUCTIONS,26-Mar-2025 02:49 PM,Rejected-AOC,2nd Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2868594,M/S PANIGRAHI CONSTRUCTION,26-Mar-2025 11:42 AM,Rejected-AOC,1st Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2869238,PRAFULLA KUMAR MISHRA,26-Mar-2025 03:10 PM,Rejected-AOC,4th Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2869453,PRASANTA KUMAR SAHU,26-Mar-2025 03:49 PM,Rejected-AOC,1st Lowest,16-Aug-2025 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
