S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2883379.0,CHITTARANJAN RANA,INR,"576,276.33",Finance,summary,Ashok Kumar Sethi,08-Aug-2025 10:05 AM,finance_535676.pdf,BOQ Comparative Chart,SE,Internal,,Ashok Kumar Sethi,08-Aug-2025 10:21 AM,finsummary_535676.pdf (197.99 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_112306_8,Bid Identification No.- 01 / MIDA / 2025-26,Repair And Improvement To Lukuna Check Dam Over Gobara Nallah Near Village Bailobeda In Harichandanpur Block Of Keonjhar District For The Year 2025-26,SE,Internal,,Ashok Kumar Sethi,08-Aug-2025 10:15 AM,techsummary_535676.pdf (197.99 KB),08-Aug-2025,"INR 576,276.33",60.0,Ashok Kumar Sethi,08-Aug-2025 10:26 AM,Lukuna1.pdf (198.00 KB),1,2882648,BANAMALI PATRA,11-Apr-2025 05:53 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,08-Apr-2025 10:00 AM,17-Apr-2025 05:00 PM,08-Apr-2025 10:05 AM,17-Apr-2025 04:00 PM,NA ,NA ,08-Apr-2025 10:10 AM,17-Apr-2025 04:00 PM,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No.- 01 / MIDA / 2025-26,2025_CEMIB_112306_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN",Repair And Improvement To Lukuna Check Dam Over Gobara Nallah Near Village Bailobeda In Harichandanpur Block Of Keonjhar District For The Year 2025-26,Repair And Improvement To Lukuna Check Dam Over Gobara Nallah Near Village Bailobeda In Harichandanpur Block Of Keonjhar District For The Year 2025-26,Please refer Tender documents. ,NA ,"6,77,892",Civil Works - Others,NA ,Rate Contract,90.0,60.0,HARICHANDANPUR,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2886660,BASANTA KUMAR MAHANTA,17-Apr-2025 01:01 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2883379,CHITTARANJAN RANA,13-Apr-2025 08:43 PM,Accepted-AOC,aoc,08-Aug-2025 10:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2887354,DURYODHAN SAHOO,17-Apr-2025 02:30 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2882662,HITESH KUMAR PRUSTY,11-Apr-2025 06:30 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2887123,JAGANNATH DAS,17-Apr-2025 12:53 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2885397,JAGANNATH SAHOO,15-Apr-2025 11:42 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2885391,KAPILA CHARAN MALIK,15-Apr-2025 09:53 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2882423,M/S ACHYUTANANDA DHAL,11-Apr-2025 03:35 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2881125,"M/S. AMIT CONSTRUCTION, PROP. AMIT MOHAMANSINGH",10-Apr-2025 07:46 PM,Rejected-Technical,Lottery,08-Aug-2025 10:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
