S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2676936.0,Bidyadhar Barad,INR,"720,365.52",Finance,11nos bidder are qualified,PRAVASH DHAL,27-Dec-2024 01:01 PM,finance_518080.pdf,BOQ Comparative Chart,SEMIDKHORDHA,Internal,sedaoaee,PRAVASH DHAL,27-Dec-2024 02:36 PM,finsummary_518080.pdf (291.47 KB),"CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||KHURDA",2024_CEMIB_107605_3,TCN-092024-25,Repair to GobarabandhaMIP of Begunia Block of Khordha district under Critical scheme for the year 2024-25,SEMIDKHORDHA,Internal,sedaoaee,PRAVASH DHAL,27-Dec-2024 01:30 PM,techsummary_518080.pdf (291.47 KB),1,2678226,ASHOK KUMAR SENAPATI,03-Dec-2024 12:13 PM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,01-Aug-2025,"INR 720,365.52",90.0,PRAVASH DHAL,01-Aug-2025 10:39 PM,gobarawo.pdf (2352.00 KB),winner of lottery,AOC,SE MID KHORDHA,o/OSE MID KHORDHA,"8,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,28-Nov-2024 10:00 AM,05-Dec-2024 11:00 AM,28-Nov-2024 10:00 AM,04-Dec-2024 05:00 PM,NA ,NA ,28-Nov-2024 10:00 AM,04-Dec-2024 05:00 PM,Repair to GobarabandhaMIP of Begunia Block of Khordha district under Critical scheme for the year 2024-25,Repair to GobarabandhaMIP of Begunia Block of Khordha district under Critical scheme for the year 2024-25,please refer tender document ,NA ,"8,47,390",Civil Works - Others,NA ,Tender,90.0,90.0,SE MID KHORDHA,752056.0,NA ,NA ,NA ,SE MID KHORDHA,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"BID security PAN GSTIN Registration Certificate, Affidavit , No relation certificate as per DTCN","CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||KHURDA",TCN-092024-25,2024_CEMIB_107605_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2678328,BICHITRA KUMAR SUBUDHI,04-Dec-2024 11:04 AM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2676936,Bidyadhar Barad,02-Dec-2024 07:24 PM,Accepted-AOC,winner of lottery,01-Aug-2025 10:39 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2679367,DIBAKAR PANDA,03-Dec-2024 06:27 PM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2680993,DIBYA SUPPLIERS,04-Dec-2024 04:11 PM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2678684,FIDA HOSEN KHAN,04-Dec-2024 10:17 AM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2679324,M/s AKSHAYA KUMAR PARIDA,03-Dec-2024 06:44 PM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2677854,RAMESH KUMAR SAHOO,03-Dec-2024 10:28 AM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2681383,SATYAJEET MANGARAJ,04-Dec-2024 03:20 PM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2677868,Sri Sarbeswar Sahoo,03-Dec-2024 05:23 PM,Rejected-Finance,Rejected,27-Dec-2024 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
