S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage
1.0,2971182.0,MS TAJ CONSTRUCTION,INR,"37,440,093",CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR CCE RW CIRCLE BALASORE AND DAO R.W. DIVISION, BALASORE",Durjyodhan Behera,14-Aug-2025 06:09 PM,finsummary_541864.pdf (50.79 KB),CE RW I||RWCIRCLE-BALASORE,2025_CERWI_114109_1,CCE-BLS-NCB-09 OF 2025-26,Construction of Chasipada to Biripada road under MMSY- CMRL in the District of Balasore for the year 2024-25,Technical,Numbers bidder Admitted,Durjyodhan Behera,19-Jun-2025 11:51 AM,technical_541864.pdf,Finance,12 number of bidder admitted,Durjyodhan Behera,08-Aug-2025 04:14 PM,,BOQ Comparative Chart,CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATORCCE RW CIRCLE BALASORE AND DAO R.W. DIVISION, BALASORE",Durjyodhan Behera,23-Jul-2025 05:58 PM,28-Jul-2025 11:00 AM,techsummary_541864.pdf (1198.04 KB),1,2971422,Akshaya Kumar Mohanty,18-Jun-2025 09:29 AM,Rejected-AOC,L6,14-Aug-2025 06:15 PM,14-Aug-2025,"INR 37,440,093",270.0,Durjyodhan Behera,14-Aug-2025 06:15 PM,6427Chasipada.pdf (582.00 KB),Work awarded to 1st lowest bidder thourgh lottery system,AOC,03-Jun-2025 11:00 AM,19-Jun-2025 11:00 AM,03-Jun-2025 11:00 AM,18-Jun-2025 05:00 PM,03-Jun-2025 11:00 AM ,17-Jun-2025 05:00 PM ,03-Jun-2025 11:00 AM,18-Jun-2025 05:00 PM,28-Jul-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"4,40,420",Yes,percentage,1.0%,Nil,Nil,Construction of Chasipada to Biripada road under MMSY- CMRL in the District of Balasore for the year 2024-25,Construction of Chasipada to Biripada road under MMSY- CMRL in the District of Balasore for the year 2024-25,Please refer DTCN ,NA ,"4,40,42,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Balasore,757001.0,NA ,NA ,NA ,"O/o The CCE R.W.CIRCLE,BALASORE",No ,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-09 OF 2025-26,2025_CERWI_114109_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"CCE R.W.CIRCLE,BALASORE","O/o The CCE R.W.CIRCLE,BALASORE",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2968723,Balukeswar Behera,18-Jun-2025 02:02 PM,Rejected-AOC,L1,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT ,MACHINERIES,ETC",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2969768,Beda Prakash Biswal,18-Jun-2025 10:48 AM,Rejected-AOC,L1,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2971158,BRAJA GOPAL PRADHAN,18-Jun-2025 01:45 PM,Rejected-AOC,L3,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2972013,Debajyoti millennium pvt ltd,18-Jun-2025 04:00 PM,Rejected-AOC,L4,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2968463,JANMEJAY NATH,18-Jun-2025 12:03 PM,Rejected-AOC,L5,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2970898,JEETESH RANJAN BEHERA,17-Jun-2025 03:44 PM,Rejected-AOC,L1,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2971182,MS TAJ CONSTRUCTION,18-Jun-2025 01:21 PM,Accepted-AOC,L1,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2968139,Rakesh kumar Nayak,16-Jun-2025 03:19 PM,Rejected-AOC,L1,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2972184,Ranjit Kumar Behera,18-Jun-2025 02:28 PM,Rejected-AOC,L1,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2972291,SANJEEB KUMAR NAYAK,18-Jun-2025 04:24 PM,Rejected-AOC,L1,14-Aug-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
