Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,2 Nos. of bidders have participated.,Biswambhar Mishra,03-Oct-2023 08:41 AM,,BOQ Comparative Chart,1.0,2252866.0,SHIBA PRASAD BEHERA,INR,"580,092.13",Municipal Bodies||Balangir Municipality,2023_ORULB_93864_50,BLGR MPTY/07(01-125)/2023-24,"Improvement of Paver Road from Makarananda Biswal Res. to Bijayalaxmi Kharsel,W.No.6","Smt. Lika Sahu, Chairperson, Balangir Municipality",Internal,"Chairperson, Executive Officer, Municipal Engineer. Junior Engineer, Balangir Municipality",Biswambhar Mishra,15-May-2025 08:04 PM,finsummary_459222.pdf (1034.47 KB),"Lika Sahu,Chairperson, Balangir Municipality",Internal,"Chairperson , Executive Officer, Municipal Engineer,Asst. Engineer, Junior Engineer, Balangir Municipality",Biswambhar Mishra,19-Oct-2023 08:32 AM,techsummary_459222.pdf (90.69 KB),04-Aug-2025,"INR 580,092.13",60.0,Rojalisa Rout,04-Aug-2025 07:13 PM,50wo.pdf (619.00 KB),"Sri Shiba Prasad Behera selected as L1 for the work Improvement of Paver Road from Makarananda Biswal Res. to Bijayalaxmi Kharsel,W.No.6",1,2252866,SHIBA PRASAD BEHERA,13-Sep-2023 04:16 PM,Accepted-AOC,L1,04-Aug-2025 07:13 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,Municipal Bodies||Balangir Municipality,BLGR MPTY/07(01-125)/2023-24,2023_ORULB_93864_50,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,950",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir","Improvement of Paver Road from Makarananda Biswal Res. to Bijayalaxmi Kharsel,W.No.6",Paver Road work,Please refer Tender Documents  ,NA ,"6,95,000",Civil Works - Roads,NA ,Tender,180.0,60.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,1.0,1st CORRIGENDUM,Date,,07-Sep-2023 09:00 AM,25-Sep-2023 11:00 AM,07-Sep-2023 09:00 AM,22-Sep-2023 05:00 PM,NA ,NA ,07-Sep-2023 09:00 AM,22-Sep-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2263349,SRI KAMBU NAG,20-Sep-2023 07:53 PM,Rejected-Finance,Other then L1 Bidder,15-May-2025 08:04 PM,AOC,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
