Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
EERWSS Division Bhanjanagar,Internal,,Nihar Ranjan Swain,12-Aug-2025 05:32 PM,techsummary_534480.pdf (233.96 KB),Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Bhanjanagar,2025_RWSS_111950_1,SE RWSS BNJ 25 of 24-25,PWS to Village Bishnuchakra in Buguda Block,1.0,2874831.0,SISIR KUMAR PRADHAN,INR,"1,447,897",1,2876378,Ajaya Kumar Panigrahy,05-Apr-2025 09:12 AM,Rejected-Finance,Disqualified due to not furnishing required Documents,12-Aug-2025 05:40 PM,Finance,Five bidders have participated in the tender,Nihar Ranjan Swain,12-Aug-2025 05:30 PM,,BOQ Comparative Chart,EERWSS Division Bhanjanagar,Internal,,Nihar Ranjan Swain,12-Aug-2025 05:40 PM,finsummary_534480.pdf (233.96 KB),12-Aug-2025,"INR 1,447,897",90.0,Nihar Ranjan Swain,12-Aug-2025 05:47 PM,BishnuhackraWO.PDF (117.00 KB),Sri Sisir Kumar Pradhan has awarded the tender as he is 1st Lowest bidder,AOC,27-Mar-2025 11:00 AM,07-Apr-2025 11:00 AM,27-Mar-2025 11:00 AM,05-Apr-2025 05:00 PM,27-Mar-2025 11:00 AM ,04-Apr-2025 05:00 PM ,27-Mar-2025 11:00 AM,05-Apr-2025 05:00 PM,"17,100",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,PWS to Village Bishnuchakra in Buguda Block,PWS to Village Bishnuchakra in Buguda Block,Technical Evaluation ,NA ,"17,03,208",Civil Works - Water Works,Drinking Water ,Tender,90.0,90.0,PWS to Village Bishnuchakra in Buguda Block,761126.0,NA ,NA ,NA ,SE RWSS Division Bhanjanagar,No ,No,SE RWSS Division Bhanjanagar,SE RWSS Division Bhanjanagar,Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Bhanjanagar,SE RWSS BNJ 25 of 24-25,2025_RWSS_111950_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2874736,HADU NAIK,02-Apr-2025 04:24 PM,Rejected-AOC,Not awarded due to 3rd Lowest Bidder,12-Aug-2025 05:48 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2874877,RAJENDRA PRASAD DASH,02-Apr-2025 05:17 PM,Rejected-AOC,Not awarded due to 2nd Lowest Bidder,12-Aug-2025 05:48 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2873476,SIBA PRASAD PANIGRAHY,29-Mar-2025 06:45 PM,Rejected-AOC,Not awarded due to 4th Lowest Bidder,12-Aug-2025 05:48 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2874831,SISIR KUMAR PRADHAN,02-Apr-2025 04:44 PM,Accepted-AOC,Awarded as he is the 1st Lowest Bidder,12-Aug-2025 05:48 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
