Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,total 24 bidders accepted,Lambodar Naik,10-Jan-2025 12:35 PM,,BOQ Comparative Chart,1.0,2725489.0,Santosh Bharati,INR,"1,071,560.3",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2024_CERWI_108814_8,TCN 08 of 2024-25,SR to PWD Road - Hatiapada for the year 2024-25 in the district of Bhadrak,Executive Engineer,Internal,,Lambodar Naik,16-Aug-2025 01:31 PM,finsummary_522293.pdf (406.16 KB),Executive Engineer,Internal,,Lambodar Naik,16-Aug-2025 01:22 PM,techsummary_522293.pdf (283.44 KB),16-Aug-2025,"INR 1,071,560.3",30.0,Lambodar Naik,16-Aug-2025 01:46 PM,w8.pdf (415.00 KB),1,2727280,ABINASH BEHERA,03-Jan-2025 09:33 PM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,"12,610",Yes,percentage,1.0%,Nil,Nil,SR to PWD Road - Hatiapada for the year 2024-25 in the district of Bhadrak,SR to PWD Road - Hatiapada for the year 2024-25 in the district of Bhadrak,Please refer Tender documents. ,NA ,"12,61,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the EE R.W.DIVISION-II,BHADRAK",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD,,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",27-Dec-2024 06:50 PM,06-Jan-2025 11:00 AM,27-Dec-2024 06:50 PM,04-Jan-2025 04:00 PM,27-Dec-2024 06:50 PM ,04-Jan-2025 03:00 PM ,27-Dec-2024 06:50 PM,04-Jan-2025 04:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,TCN 08 of 2024-25,2024_CERWI_108814_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"O/O the EE R.W.DIVISION-II,BHADRAK","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2721316,Ajit Kumar Lenka,01-Jan-2025 10:31 PM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2724346,ANNAPURNA GHOSH,03-Jan-2025 07:42 AM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2723229,BAIDHAR BHARATI,02-Jan-2025 08:46 PM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2727339,Basanta Kumar Barik,03-Jan-2025 09:59 PM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2719874,BISHNU CHARAN MOHAPATRA,01-Jan-2025 05:38 AM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2724690,Chitaranjan Nayak,03-Jan-2025 10:48 AM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2728612,Damodar Nayak,04-Jan-2025 02:23 PM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2727050,DUSASAN ROUT,03-Jan-2025 08:49 PM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2726548,Henarani Jena,03-Jan-2025 05:24 PM,Rejected-AOC,rejected,16-Aug-2025 01:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
