Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Superintending Engineer prachi division,"Superintending Engineer Prachi Division, Bhubaneswar",1.0,ICICI BANK,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-04/2025-26,2025_CELBB_114118_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,900",Yes,fixed,,Nil,Nil,05-Jun-2025 10:00 AM,17-Jun-2025 11:00 AM,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,NA ,NA ,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN",Restoration to Phirphira Distributary from RD 4.600 Km. to 4.750 Km. of Gop Branch Canal,Restoration work,Please refer Tender documents. ,NA ,"10,86,098",Civil Works - Canal,NA ,Tender,90.0,NA ,Balianta,754004.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,"6,000",0.0,Nil,Nil,No,AOC,"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,18-Jul-2025 04:40 PM,techsummary_542041.pdf (132.82 KB),"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,18-Jul-2025 04:43 PM,finsummary_542041.pdf (132.82 KB),Finance,Bid Opened,Raghunath Swain,17-Jun-2025 05:53 PM,,BOQ Comparative Chart,19-Aug-2025,"INR 1,086,097.58",120.0,Raghunath Swain,19-Aug-2025 04:54 PM,25.PDF (142.00 KB),1.0,2968030.0,Rasmi Jena,INR,"923,292","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_114118_25,SEPRD-04/2025-26,Restoration to Phirphira Distributary from RD 4.600 Km. to 4.750 Km. of Gop Branch Canal,1,2969673,ASHOK KUMAR PATRA,16-Jun-2025 04:45 PM,Rejected-Technical,not selected through Lottery,18-Jul-2025 04:40 PM,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2967635,BIKASH CHANDRA PATRA,15-Jun-2025 06:54 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2954194,CHINMAYA BHATTA,11-Jun-2025 04:51 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2953558,DIPIN KUMAR MOHANTY,14-Jun-2025 08:53 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2965873,GANESH CHANDRA PARIDA,13-Jun-2025 04:38 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2968024,JAY MAHADEV CONSTRUCTION,16-Jun-2025 01:47 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2968455,JUDHISTHIR MOHANTY,16-Jun-2025 12:15 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2966601,LIPIKA SUBUDHI,14-Jun-2025 12:54 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2953572,LOKANATH SAHOO,12-Jun-2025 09:25 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2958183,NIRANJAN MISHRA,09-Jun-2025 04:51 PM,Rejected-Technical,not selected through lottery,18-Jul-2025 04:40 PM,AOC
