EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"6,100",Yes,fixed,,Nil,Nil,Three time grass cutting of D/S slope with berm including inverted filter area from RD 11600 ft. to RD 14100 ft. of Right Earth Dam of Hirakud Dam for the year 2025-26,Three time grass cutting of D/S slope with berm including inverted filter area from RD 11600 ft. to RD 14100 ft. of Right Earth Dam of Hirakud Dam for the year 2025-26,Please refer Tender documents. ,NA ,"6,07,101",Civil Works - Others,NA ,Tender,90.0,365.0,BURLA,768017.0,NA ,NA ,NA ,"SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"VALID LICENCE, AFFIDAVIT, GST, PAN, NO RELATION, SCHEDUKE-E, AND OTHER DOCUMENTS AS PER DTCN",18-Jun-2025 10:00 AM,01-Jul-2025 11:00 AM,18-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,18-Jun-2025 10:00 AM ,29-Jun-2025 05:00 PM ,18-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Main Dam Divn,Burla",MDD-e-03/2025-26,2025_CEBBU_114492_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA","O/O- SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA",AOC,Superintending Engineer,Internal,"Superintending Engineer, Divisional Accounts Officer, Estimator",Sunit Mahipal Kujur,01-Aug-2025 11:05 AM,techsummary_543300.pdf (425.19 KB),Superintending Engineer,Internal,"Superintending Engineer, Divisional Accounts Officer, Estimator",Sunit Mahipal Kujur,01-Aug-2025 11:12 AM,finsummary_543300.pdf (259.78 KB),Finance,Bid opening Summary,Sunit Mahipal Kujur,01-Aug-2025 10:57 AM,finance_543300.pdf,BOQ Comparative Chart,01-Aug-2025,"INR 516,097",365.0,Sunit Mahipal Kujur,01-Aug-2025 11:26 AM,E_03_21.pdf (260.00 KB),Puspalata Dutta is selected through transparent lottery as L1 bidder of this tender and the work order may be issued on favor of Puspalata Dutta.,1,2980957,ASUTOSH AGRAWAL,30-Jun-2025 09:08 AM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,1.0,2979603.0,PUSPALATA DUTTA,INR,"516,097","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Main Dam Divn,Burla",2025_CEBBU_114492_21,MDD-e-03/2025-26,Three time grass cutting of D/S slope with berm including inverted filter area from RD 11600 ft. to RD 14100 ft. of Right Earth Dam of Hirakud Dam for the year 2025-26,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,2977247,BIBHUTIBHUSHAN PANDA,24-Jun-2025 08:31 PM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,2980120,Bidyut Kumar Nayak,25-Jun-2025 09:29 PM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,2981799,MANOJ KUMAR PANDA,29-Jun-2025 12:26 AM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,2984156,m/s dishant flyash bricks,30-Jun-2025 04:05 PM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,2982496,Niranjan Bisoi,29-Jun-2025 12:22 PM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,2981495,Pitambar Singh,27-Jun-2025 02:20 PM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,2982733,PRATIMA PANDA,29-Jun-2025 10:14 PM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,2978717,PUJARANI SAMAL,24-Jun-2025 10:48 AM,Rejected-AOC,Not Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,2979603,PUSPALATA DUTTA,27-Jun-2025 02:28 PM,Accepted-AOC,Selected through transparent lottery,01-Aug-2025 11:26 AM,,,,,,,,,,AOC
