Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Construction of 2X500KVA DSS along with 2X250KVA, 415v, DG Sets for Workers Hostel at Sambalpur","Construction of 2X500KVA DSS along with 2X250KVA, 415v, DG Sets for Workers Hostel at Sambalpur",Please refer Tender documents. ,NA ,"1,68,77,551",Electrical Works,DSS ,Tender,180.0,120.0,Sambalpur,768001.0,NA ,NA ,NA ,Office chamber of CGM(PC),No ,No,14-Feb-2025 06:00 PM,10-Mar-2025 11:30 AM,14-Feb-2025 06:00 PM,07-Mar-2025 05:00 PM,NA ,NA ,20-Feb-2025 09:00 AM,07-Mar-2025 05:00 PM,17-May-2025 11:30 AM,"1,68,776",Yes,fixed,,Nil,Nil,1,DATE CORRIGENDUM,Date,,IDCO||IDCO||IDCO,PC/EST/E-45/2024-25,2025_IDCO_110684_1,Yes,National Competitive Bid,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GST, EPF, EPF LATEST CHALLAN, HT LICENSE ISSUED BY ELBO, Schedule D, AFFIDAVIT",CGM(PC),IDCO Towers Janpath Bhubaneswar,"11,800",0.0,Nil,Nil,No,AOC,Finance,finance bid opening summary,JAGABANDHU MAJHI,17-May-2025 12:08 PM,finance_530169.pdf,BOQ Comparative Chart,Technical,technical opening summary,JAGABANDHU MAJHI,10-Mar-2025 12:44 PM,technical_530169.pdf,1,2839789,AKHANDALAMANI ELECTRICALS AND CONSTRUCTION,28-Feb-2025 11:48 AM,Rejected-AOC,quoted more than L1 bidder,25-Aug-2025 02:40 PM,25-Aug-2025,"INR 16,468,839.636",120.0,JAGABANDHU MAJHI,25-Aug-2025 02:39 PM,WOsambalpur.pdf (11308.00 KB),CGM(PC),Internal,,JAGABANDHU MAJHI,25-Aug-2025 02:35 PM,finsummary_530169.pdf (725.86 KB),CGM (PC),Internal,,JAGABANDHU MAJHI,13-May-2025 05:37 PM,17-May-2025 11:30 AM,techsummary_530169.pdf (373.90 KB),IDCO||IDCO||IDCO,2025_IDCO_110684_1,PC/EST/E-45/2024-25,"Construction of 2X500KVA DSS along with 2X250KVA, 415v, DG Sets for Workers Hostel at Sambalpur",1.0,2838664.0,M/s. S.K.Mohapatra,INR,"16,468,839.636",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,First fee corrigendum,Fee,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,AOC,,,,,,,,,,,,2,2838277,MAA BHUBANESWARI ELECTRICALS,06-Mar-2025 10:28 PM,Rejected-Technical,not fulfilling the required work experience in clause no.112(g) as per DTCN,13-May-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2838664,M/s. S.K.Mohapatra,06-Mar-2025 02:16 PM,Accepted-AOC,lowest quoted bidder,25-Aug-2025 02:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
