Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Puri",2025_CEDC_114735_1,DDP-26/2025-26,"De-Congestion and renovation at strategic location of various bridge points of Kadua DC, Mugei DC and its link drains, DC-11 and DC-14 and link drains of Dhanua DC",1.0,2990429.0,SUSHREE ANARKALI,INR,"3,501,948",Er. Ramakanta mallick,Internal,"Er. Ramakanta Mallik,SE, Ratiranjan Mishra AE, and DAO",RATI RANJAN MISHRA,17-Jul-2025 12:49 PM,techsummary_543979.pdf (213.13 KB),14-Aug-2025,"INR 4,119,454",60.0,Ramakanta Mallik,14-Aug-2025 09:53 PM,aocanarkali.pdf (462.00 KB),AOC,Finance,ALL THE BIDDERS ARE VALID BIDDERS,RATI RANJAN MISHRA,17-Jul-2025 10:58 AM,finance_543979.pdf,BOQ Comparative Chart,Er. Ramakanta Mallick,Internal,"Er. Ramakanta Mallik,SE, Er. Ratiranjan Mishra, AE and DAO",RATI RANJAN MISHRA,14-Aug-2025 09:13 PM,finsummary_543979.pdf (3726.32 KB),1,2989362,ABHIJIT SWAIN,04-Jul-2025 07:04 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN, Contractor RC Affidavits, NRC, undertakings and any other document as per SBD/DTCN","41,200",Yes,fixed,,Nil,Nil,"The SE, Drainage Division Puri","O/o The Superintending Engineer, Drainage Division Puri",23-Jun-2025 09:00 AM,08-Jul-2025 11:30 AM,23-Jun-2025 09:00 AM,05-Jul-2025 05:30 PM,NA ,NA ,23-Jun-2025 09:00 AM,05-Jul-2025 05:30 PM,"De-Congestion and renovation at strategic location of various bridge points of Kadua DC, Mugei DC and its link drains, DC-11 and DC-14 and link drains of Dhanua DC",De-Congestion and renovation,Please refer Tender documents. ,NA ,"41,19,454",Civil Works - Others,NA ,Tender,90.0,60.0,The site is located on Dhanua DC,752014.0,NA ,NA ,NA ,"O/o The SE, Drainage Division Puri",No ,No,"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Puri",DDP-26/2025-26,2025_CEDC_114735_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2988947,ABINASH PRASAD BEHERA,04-Jul-2025 01:46 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2989592,AJAY KUMAR BEHERA,04-Jul-2025 09:08 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2989557,Akash Kumar Nath,04-Jul-2025 08:38 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2984323,ALOK SENAPATI,03-Jul-2025 05:46 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2986997,ANAMIKA PANDA,02-Jul-2025 07:13 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2988863,ANIL KUMAR JENA,04-Jul-2025 03:03 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2988885,ANSUMAN BHUYAN,04-Jul-2025 01:21 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2988086,ASWINI MOHAPATRA,03-Jul-2025 07:03 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2990227,BAIKUNTHA NATHA DALAI,05-Jul-2025 01:02 PM,Rejected-Technical,Reject,17-Jul-2025 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
