Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC",17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality",Construction of Rcc Drain and Paver Road from Janaki Barik House towards Kanchan Ganesh Mandap at ward No-15,Construction of Rcc Drain and Paver Road from Janaki Barik House towards Kanchan Ganesh Mandap at ward No-15,Please refer Tender documents. ,NA ,"7,44,973",Civil Works - Others,NA ,Tender,90.0,90.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,1,ICICI BANK,Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_111,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,500",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,AOC,1.0,2895139.0,SADHABANI MALIK(S.C),INR,"744,973",Gulmaki Dalawzi,Internal,Details attached below,TAPASA KUMAR SAMAL,12-Aug-2025 01:29 PM,finsummary_536472.pdf (240.58 KB),Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_111,BM-BDK-01-2025-26,Construction of Rcc Drain and Paver Road from Janaki Barik House towards Kanchan Ganesh Mandap at ward No-15,1,2895048,KAILASH CHANDRA PANDUA(S.C),26-Apr-2025 10:50 AM,Rejected-AOC,Quoted second lowest,12-Aug-2025 01:31 PM,Gulmaki Dalawzi,Internal,Details attached below,TAPASA KUMAR SAMAL,12-Aug-2025 01:26 PM,techsummary_536472.pdf (240.58 KB),Finance,ok,TAPASA KUMAR SAMAL,02-May-2025 11:41 AM,,BOQ Comparative Chart,12-Aug-2025,"INR 744,973",90.0,TAPASA KUMAR SAMAL,12-Aug-2025 01:31 PM,111.pdf (1126.00 KB),work order issued,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2895139,SADHABANI MALIK(S.C),25-Apr-2025 07:23 PM,Accepted-AOC,Quoted first lowest,12-Aug-2025 01:31 PM,,,,,,,,,,,,,,,,,,,,AOC
