Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Finance,Bid Opening Summary,Sukanta Gardia,20-Jun-2025 05:16 PM,finance_542700.pdf,BOQ Comparative Chart,1.0,2968106.0,PRITAM KUMAR SAHU,INR,"821,683.93",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KHARIAR,2025_EICCL_114318_1,SERNBKHR - 05 /2025-26,"Repair andRenovation of Ekalavya Model Residential School at Nuapada, Such as Laying of Pavour Blocks in the Courtyard of Boys Hostel,Girls Hostel Academic Block,Coving of roof of Boys Hostel, Girls Hostel, Academic Block a Staff Quartets with GCI S","Er.SasankaSekharSukla,S.E.",Internal,"DilipkumarShaw,DAO.Er.SukantaGardia,AEE,Estimator",Sukanta Gardia,25-Jun-2025 08:06 PM,finsummary_542700.pdf (54.98 KB),"Er.SasankaSekharSukla,S.E.",Internal,"DilipkumarShaw,DAO.Er.SukantaGardia,AEE,Estimator",Sukanta Gardia,20-Jun-2025 05:22 PM,techsummary_542700.pdf (183.39 KB),12-Aug-2025,"INR 821,683.93",90.0,Sukanta Gardia,19-Aug-2025 12:50 PM,AoC5.pdf (124.00 KB),AWARD OF CONTRACT,1,2968430,BHOLA KHARSEL,16-Jun-2025 07:32 PM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,"4,000",0.0,Nil,Nil,No,11-Jun-2025 10:00 AM,18-Jun-2025 11:30 AM,11-Jun-2025 10:00 AM,17-Jun-2025 05:00 PM,11-Jun-2025 10:00 AM ,17-Jun-2025 05:00 PM ,11-Jun-2025 10:00 AM,17-Jun-2025 05:00 PM,"SE,Khariar RandB Division,Khariar","O/o SE,Khariar RandB Division,Khariar","Repair andRenovation of Ekalavya Model Residential School at Nuapada, Such as Laying of Pavour Blocks in the Courtyard of Boys Hostel,Girls Hostel Academic Block,Coving of roof of Boys Hostel, Girls Hostel, Academic Block a Staff Quartets with GCI S","Repair and Renovation of Ekalavya Model Residential School at Nuapada, Such as Laying of Pavour Blocks in the Courtyard of Boys Hostel,Girls Hostel Academic Block,Coving of roof of Boys Hostel, Girls Hostel, Academic Block a Staff Quartets with GCI",Please refer Tender documents. ,NA ,"9,66,573",Civil Works - Buildings,Repair and Renovation  ,Tender,90.0,90.0,Nuapada,766105.0,NA ,NA ,NA ,"O/o SE,Khariar RandB Division,Khariar",No ,No,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KHARIAR,SERNBKHR - 05 /2025-26,2025_EICCL_114318_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"10,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, RC, PAN, VAT,GSTIN,EMD,Affidavit and other document as per DTCN.",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2970760,CHANDRAPRAKASH DANDSENA,17-Jun-2025 02:51 PM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity.,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2970637,MAA MANGALA TRADERS,17-Jun-2025 03:09 PM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2969446,PRABHJOT SINGH GANDHI,16-Jun-2025 05:39 PM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2968098,PRAMOD SINGH THAKUR,16-Jun-2025 06:03 PM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2970193,PRANGYA PRIYAMBIKA THAKUR,17-Jun-2025 08:21 AM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2967607,PRATIMA SAHU,15-Jun-2025 04:44 PM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2968106,PRITAM KUMAR SAHU,16-Jun-2025 10:10 AM,Accepted-AOC,Successful through transparent lottery process and awarded the work,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2970851,RAJIB KUMAR HOTA,17-Jun-2025 03:19 PM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2970977,SALIK RAM SAHU,17-Jun-2025 04:10 PM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2968099,SAURABH SAHU,16-Jun-2025 10:02 AM,Rejected-AOC,Not successful through transparent lottery process.,19-Aug-2025 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
