Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,All the ten bids have been admitted,Dilip Kumar Sethy,20-Jun-2025 07:13 PM,,BOQ Comparative Chart,1.0,2940250.0,M/S. SABITA BEHERA,INR,"1,672,600",Municipal Bodies||Paradeep Municipality,2025_ORULB_113460_92,EO/PDPM/W_1/2025-26,Reconstruction of MRF Floor at Bangalipada in ward no 13,1,2939796,BIJAY KUMAR SETHY,30-May-2025 07:07 PM,Rejected-Finance,L2,20-Aug-2025 03:57 PM,20-Aug-2025,"INR 1,672,600",90.0,Bibhuti Tripathy,20-Aug-2025 04:00 PM,92.pdf (724.00 KB),Contract value includes GST.,Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,20-Aug-2025 03:43 PM,techsummary_539981.pdf (724.29 KB),Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,20-Aug-2025 03:57 PM,finsummary_539981.pdf (724.29 KB),AOC,"16,674",Yes,percentage,1.0%,Nil,Nil,19-May-2025 10:00 AM,02-Jun-2025 11:00 AM,19-May-2025 10:00 AM,31-May-2025 05:00 PM,19-May-2025 10:00 AM ,31-May-2025 05:00 PM ,19-May-2025 10:00 AM,31-May-2025 05:00 PM,Municipal Bodies||Paradeep Municipality,EO/PDPM/W_1/2025-26,2025_ORULB_113460_92,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EO, PARADEEP MUNICIPALITY",PARADEEP MUNICIPALITY,Reconstruction of MRF Floor at Bangalipada in ward no 13,Reconstruction of MRF Floor at Bangalipada in ward no 13,Please refer Tender documents. ,NA ,"16,67,404",Civil Works - Others,NA ,Tender,120.0,90.0,PARADEEP MUNICIPALITY,754142.0,NA ,NA ,NA ,PARADEEP MUNICIPALITY,No ,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents,AOC
,,,,,,,,,,,,,,,2,2944427,KUNILATA PATRA,31-May-2025 10:00 AM,Rejected-Finance,L3,20-Aug-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BoQ,AOC
,,,,,,,,,,,,,,,3,2939440,M/s.Ashirbad jena,30-May-2025 06:25 PM,Rejected-Finance,L7,20-Aug-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2933437,M/S KANTHAMANI SETHY,28-May-2025 09:13 PM,Rejected-Finance,L6,20-Aug-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2934198,M/s.PABITRA MOHAN NAYAK,29-May-2025 11:20 AM,Rejected-Finance,L5,20-Aug-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2940250,M/S. SABITA BEHERA,30-May-2025 07:28 PM,Accepted-AOC,Contract value includes GST.,20-Aug-2025 04:00 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2942109,PADAN CHARAN BEHERA,31-May-2025 09:15 AM,Rejected-Finance,L8,20-Aug-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2936635,SABITA BEHERA,30-May-2025 07:33 AM,Rejected-Finance,L9,20-Aug-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2942114,SANJAYA MOHANTY,30-May-2025 09:12 AM,Rejected-Finance,L4,20-Aug-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2934609,VISSION ENTERPRISES PROP. MAMALI PATRA,27-May-2025 10:01 PM,Rejected-Finance,L10,20-Aug-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
