Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||BISSAM CUTTACK Block,04/2024-25,2025_PZPBC_113317_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,13-May-2025 10:00 AM,20-May-2025 11:00 AM,13-May-2025 10:00 AM,19-May-2025 05:00 PM,13-May-2025 10:00 AM ,18-May-2025 05:00 PM ,13-May-2025 10:00 AM,19-May-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents,"BDO, Bissamcuttak","Block Development Officer, Bissamcuttak",1,ICICI BANK,"CONSTRUCTION OF ADDITIONAL CLASS ROOM OF KACHAPAJU PRIMARY SCHOOL, DUKUM GP BISSAMCUTTACK BLOCK RAYAGADA, ODISHA","CONSTRUCTION OF ADDITIONAL CLASS ROOM OF KACHAPAJU PRIMARY SCHOOL, DUKUM GP BISSAMCUTTACK BLOCK RAYAGADA, ODISHA",Please refer Tender documents. ,NA ,"12,33,278",Civil Works - Buildings,NA ,Tender,90.0,90.0,KACHAPAJU,765019.0,NA ,NA ,NA ,"Block Development Officer, Bissamcuttak",No ,No,"12,333",Yes,percentage,1.0%,Nil,Nil,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||BISSAM CUTTACK Block,2025_PZPBC_113317_2,04/2024-25,"CONSTRUCTION OF ADDITIONAL CLASS ROOM OF KACHAPAJU PRIMARY SCHOOL, DUKUM GP BISSAMCUTTACK BLOCK RAYAGADA, ODISHA","BDO, Bissamcuttack",Internal,"BDO, Bissamcuttak, AEE, JE and Section Officer",Siva Prasad Patnaik,06-Aug-2025 12:45 PM,finsummary_539130.pdf (810.46 KB),Finance,"BDO, Bissamcuttak, AEE, JE and Section Officer",Siva Prasad Patnaik,06-Aug-2025 12:15 PM,finance_539130.pdf,BOQ Comparative Chart,1.0,2924581.0,BIBHISEN PALAKA,INR,"1,048,409",07-Aug-2025,"INR 1,048,409",90.0,Siva Prasad Patnaik,08-Aug-2025 10:17 AM,wokachapaju.pdf (535.00 KB),1st lowest to awarded,1,2924581,BIBHISEN PALAKA,19-May-2025 12:29 PM,Accepted-AOC,1st lowest,08-Aug-2025 10:17 AM,"BDO, Bissamcuttack",Internal,"BDO, Bissamcuttak, AEE, JE and Section Officer",Siva Prasad Patnaik,06-Aug-2025 12:27 PM,techsummary_539130.pdf (810.45 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2923411,RANJAN KUMAR NAIK BEHERA,18-May-2025 12:18 PM,Rejected-Technical,L2,06-Aug-2025 12:27 PM,,,,,,,AOC
