Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,tender opened,Swosti Elora Pattnaik,18-Jun-2025 12:35 PM,,BOQ Comparative Chart,1.0,2959998.0,RUSHI PRASAD MISHRA,INR,"500,414","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_114118_4,SEPRD-04/2025-26,Pre Khariff maintenance of Kalapanchana Minor from RD 00 to 6.50 Km. and Dandikira with its system,"SE Prachi Division, Bhubaneswar",Internal,,Swosti Elora Pattnaik,28-Jul-2025 01:47 PM,finsummary_541903.pdf (129.17 KB),"SE Prachi Division, Bhubaneswar",Internal,,Swosti Elora Pattnaik,28-Jul-2025 01:44 PM,techsummary_541903.pdf (129.17 KB),12-Aug-2025,"INR 588,652.57",90.0,Raghunath Swain,12-Aug-2025 12:03 PM,4.PDF (144.00 KB),1,2966706,AJAY KUMAR DAS,14-Jun-2025 02:10 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,"5,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN",Pre Khariff maintenance of Kalapanchana Minor from RD 00 to 6.50 Km. and Dandikira with its system,maintenance work,Please refer Tender documents. ,NA ,"5,88,653",Civil Works - Canal,NA ,Tender,90.0,NA ,niali,754004.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,1.0,ICICI BANK,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-04/2025-26,2025_CELBB_114118_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer prachi division,"Superintending Engineer Prachi Division, Bhubaneswar","4,000",0.0,Nil,Nil,No,05-Jun-2025 10:00 AM,17-Jun-2025 11:00 AM,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,NA ,NA ,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2969586,ASHOK KUMAR PATRA,16-Jun-2025 04:17 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2964877,ASIT KUMAR MALLICK,13-Jun-2025 10:14 AM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2969340,BIDYUT KUMAR BISWAL,16-Jun-2025 03:31 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2967609,BIKASH CHANDRA PATRA,15-Jun-2025 05:57 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2960537,BISWANATH TRIPATHY,11-Jun-2025 10:52 AM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2967892,CHINMAYEE SAHOO,16-Jun-2025 02:52 AM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2965860,GANESH CHANDRA PARIDA,13-Jun-2025 04:33 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2965188,JAYARAM BEHERA,16-Jun-2025 02:26 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2964795,L M ASSOCIATES,12-Jun-2025 08:43 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
