S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"EE Central Tender Cell,BMC","BMC, ICOMC Tower,Infront of Satya Nagar Kali Mandir,","19,200",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-67/2024-25 Dt. 10.03.2025,2025_ORULB_111543_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Fitting fixing of Temporary shed at the Traffic Junction for protection from heat wave in BMC Area at Sishu Bhawan 1 side, Master Canteen 2 side , Rupali Junction 2 side and Kalpana Square 3 side.","Fitting fixing of Temporary shed at the Traffic Junction for protection from heat wave in BMC Area at Sishu Bhawan 1 side, Master Canteen 2 side , Rupali Junction 2 side and Kalpana Square 3 side.",Please refer Tender documents. ,NA ,"19,16,200",Civil Works - Others,NA ,Tender,120.0,7.0,BMC Area,751022.0,"City engineer chamber, BMC ","BMC, ICOMC Tower,Infront of Satya Nagar Kali Mandir, ",13-Mar-2025 12:30 PM ,"Central Tender Cell,BMC",No ,No,12-Mar-2025 04:00 PM,19-Mar-2025 03:30 PM,12-Mar-2025 04:00 PM,19-Mar-2025 03:00 PM,12-Mar-2025 04:00 PM ,13-Mar-2025 11:30 AM ,12-Mar-2025 04:00 PM,19-Mar-2025 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,AOC,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,21-Aug-2025 03:36 PM,finsummary_532875.pdf (2458.39 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,21-Aug-2025 03:26 PM,techsummary_532875.pdf (2793.18 KB),1,2856346,AJAY KUMAR SENAPATI,19-Mar-2025 07:04 AM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_111543_12,BMC-EE-Tender Cell-67/2024-25 Dt. 10.03.2025,"Fitting fixing of Temporary shed at the Traffic Junction for protection from heat wave in BMC Area at Sishu Bhawan 1 side, Master Canteen 2 side , Rupali Junction 2 side and Kalpana Square 3 side.",1.0,2862258.0,GEETANJALI MOHARANA,INR,"1,922,175",21-Aug-2025,"INR 1,922,175",7.0,Lipsa Parida,21-Aug-2025 03:43 PM,Workorder_67_12.pdf (124.00 KB),Finance,11 bids opened successfully,Lipsa Parida,19-Mar-2025 05:32 PM,finance_532875.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,2,2862089,BINAY PRASAD MOHAPATRA,19-Mar-2025 02:56 PM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2861902,BISHNU PRASAD SETHI,18-Mar-2025 08:15 PM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2859593,BULLAN MALLA,18-Mar-2025 06:37 PM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2862258,GEETANJALI MOHARANA,19-Mar-2025 01:37 PM,Accepted-AOC,L1 bidder,21-Aug-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2862226,JHIA MAA AGENCY,19-Mar-2025 12:52 PM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2862307,M/S KANAKA AND PADMABATI ENGINEERING,19-Mar-2025 02:40 PM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2856334,SACHIDA NANDA SETHY,19-Mar-2025 07:08 AM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2862141,SAMBIT RAY,19-Mar-2025 01:19 PM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2860060,SANTOSH KUMAR BHOI,18-Mar-2025 07:58 PM,Rejected-Finance,Rejected,21-Aug-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC
