Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Construction of Board walk and Repair and Renovation of Panthanivas, Gopalpur in Ganjam Dist.","Construction of Board walk and Repair and Renovation of Panthanivas, Gopalpur in Ganjam Dist.",As per DTCN ,NA ,"1,42,69,000",Civil Works - Buildings,NA ,Tender,90.0,150.0,Gopalpur in Ganjam Dist.,761002.0,NA ,NA ,NA ,"Superintending Engineer, O.T.D.C Ltd Lewis road",No ,No,1.0,ICICI BANK,24-Apr-2025 09:00 AM,12-May-2025 11:30 AM,24-Apr-2025 09:00 AM,10-May-2025 05:00 PM,NA ,NA ,24-Apr-2025 09:00 AM,10-May-2025 05:00 PM,19-May-2025 05:55 PM,1.0,Due Date Extended for tenders closing on 06-05-2025.,Admin Corrigendum Date Extend,,"Superintending Engineer, O.T.D.C Ltd","Superintending Engineer, O.T.D.C Ltd Lewis road Bhubaneswar.","1,42,690",Yes,percentage,1.0%,Nil,Nil,"10,000","1,800",Nil,Nil,No,Odisha Tourism Devl. Corp.,BP I/04/2025 26 Dt.15.04.2025,2025_OTDC_112781_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidavit, GST,work experience",AOC,S.K. Behera,Internal,"S. Naik, A. S. Swain, S. K. Jena",Sunil Kumar Behera,01-Aug-2025 06:59 PM,finsummary_537412.pdf (695.90 KB),01-Aug-2025,"INR 14,313,573",150.0,Sunil Kumar Behera,01-Aug-2025 07:05 PM,AOC.pdf (784.00 KB),WORK ORDER,Finance,Financial Proceedings,Sunil Kumar Behera,01-Aug-2025 06:45 PM,finance_537412.pdf,BOQ Comparative Chart,Technical,Proceeding,Sunil Kumar Behera,19-May-2025 11:58 AM,technical_537412.pdf,1,2905839,ASHOK KUMAR DASH,05-May-2025 12:06 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,01-Aug-2025 06:59 PM,Odisha Tourism Devl. Corp.,2025_OTDC_112781_2,BP I/04/2025 26 Dt.15.04.2025,"Construction of Board walk and Repair and Renovation of Panthanivas, Gopalpur in Ganjam Dist.",1.0,2901765.0,SANYASI BEHERA SC,INR,"14,313,573",S.K. BEHERA,Internal,L.SAHOOS NAIKA.S. SWAINS.K.JENA,Sunil Kumar Behera,19-May-2025 05:54 PM,19-May-2025 05:55 PM,techsummary_537412.pdf (924.86 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2906669,M VENKET RAO,09-May-2025 11:47 AM,Rejected-Technical,Not Fulfilled eligibility criteria,19-May-2025 05:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2910904,Nitish Biswal,10-May-2025 11:17 AM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,01-Aug-2025 06:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2903084,PRADEEP KUMAR CHOUDHURY,06-May-2025 11:17 AM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,01-Aug-2025 06:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2907130,PRASANA KUMAR SAHOO,06-May-2025 12:09 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,01-Aug-2025 06:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,2911132,PRIYAMBADA DAS,10-May-2025 01:27 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,01-Aug-2025 06:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,2910590,RAJESH KUMAR PARIDA,09-May-2025 06:41 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,01-Aug-2025 06:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,2901765,SANYASI BEHERA SC,30-Apr-2025 12:42 PM,Accepted-AOC,SUCESSFUL BIDDER,01-Aug-2025 07:05 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,2904084,SRI SADHU NIMIKA,02-May-2025 09:24 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,01-Aug-2025 06:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,2907141,SUBASH CHANDRA BARIK,06-May-2025 12:13 PM,Rejected-Finance,Unsuccessful Bidder in Transparent Lottery System,01-Aug-2025 06:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,2911203,SWADHIN SAHANI,10-May-2025 02:10 PM,Rejected-AOC,UNSUCESSFUL BIDDER,01-Aug-2025 07:05 PM,,,,,,,,,,,,,,,,,AOC
