Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_114352_16,05/OPHWC/2025-26,"Constn. Of 6 Nos. F type Qtr. at Bijepur PS, Kalahandi",1.0,2978619.0,T. Srinivas Rao,INR,"14,275,774",1.0,2978630.0,ABHIMANYU NAIK,24-Jun-2025 01:12 PM,Rejected-Finance,DUE TO L2 BIDDER,18-Aug-2025 12:53 PM,18-Aug-2025,"INR 14,275,774",365.0,Bikram Keshari Malla,18-Aug-2025 12:55 PM,WORKORDERTR.pdf (519.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 14.08.2025,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,28-Jul-2025 04:07 PM,29-Jul-2025 10:30 AM,techsummary_542946.pdf (304.36 KB),Finance,financial bid opened,Bikram Keshari Malla,29-Jul-2025 11:30 AM,,BOQ Comparative Chart,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,18-Aug-2025 12:53 PM,finsummary_542946.pdf (361.34 KB),Technical,2 Nos. of bidder have been participated,Bikram Keshari Malla,01-Jul-2025 05:16 PM,,AOC,"Constn. Of 6 Nos. F type Qtr. at Bijepur PS, Kalahandi",Building Work,Please refer Tender documents ,NA ,"1,58,60,209",Civil Works - Buildings,NA ,Tender,90.0,365.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,CHIEF ENGINEER OPHWC,"1,58,600",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,05/OPHWC/2025-26,2025_OSPHW_114352_16,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,12-Jun-2025 06:55 PM,30-Jun-2025 10:30 AM,12-Jun-2025 06:55 PM,26-Jun-2025 05:00 PM,NA ,NA ,12-Jun-2025 06:55 PM,26-Jun-2025 05:00 PM,29-Jul-2025 10:30 AM,AOC
,,,,,,,,,2.0,2978619.0,T. Srinivas Rao,25-Jun-2025 07:25 AM,Accepted-AOC,QUALIFIED BIDDER,18-Aug-2025 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
