S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"10,000",0.0,Nil,Nil,Yes,Shifting of Pipeline from HARIPUR to RENCH SQUARE of NIMAPARA Block under Puri District.,Shifting of Pipeline from HARIPUR to RENCH SQUARE of NIMAPARA Block under Puri District.,Please Refer Tender Documents. ,NA ,"1,18,47,967",Civil Works - Water Works,NA ,Tender,180.0,365.0,"HARIPUR, RENCH, NIMAPARA, PURI",752106.0,NA ,NA ,NA ,"O/O SE, RWSS DIVISION, PURI",No ,No,06-Mar-2025 11:00 AM,18-Mar-2025 11:30 AM,06-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,06-Mar-2025 11:00 AM ,13-Mar-2025 05:00 PM ,06-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,05-Jul-2025 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST, EMD, GSTIN, PAN, REGISTRATION CERTIFICATE AND AFFIDAVIT","EE, RWSS DIVISION, PURI","O/O SE, RWSS DIVISION, PURI, WATER WORKS ROAD, PURI-752002","1,19,000",Yes,fixed,,Nil,Nil,Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||EE RWSS Divn Puri,RWSS DIVISION PURI 30 OF 2024-25,2025_RWSS_111381_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Finance,All are admitted and it will be finalised after Lottery system.,Sarmisthabala Prusty,05-Jul-2025 02:16 PM,,BOQ Comparative Chart,Technical,14 nos bidders are participated and all are admitted for Technical Evaluation.,Bikash Chandra Samal,18-Mar-2025 02:07 PM,,1,2858836,Ashish Kumar Behera,17-Mar-2025 02:04 PM,Rejected-Technical,"Disqualifed due to nonn submission of wanting documents during the stipulated period s per section-I, E, clause 26.2(ii)",05-Jul-2025 12:54 PM,ADDITIONAL CHIEF ENGINEER,Internal,AEE ESTIMATOR SR DAO RWSS DIVISION PURI,Bikash Chandra Samal,09-Aug-2025 01:47 PM,finsummary_532349.pdf (1878.91 KB),09-Aug-2025,"INR 11,847,966.58",365.0,Bikash Chandra Samal,09-Aug-2025 01:53 PM,HARIPUR_to_RENCH_Square_WO.pdf (2207.00 KB),ADDITIONAL CHIEF ENGINEER,External,EE RWSS CIRCLE BBSR SE RWSS DIVN PURI SR DAO RWSS DIVN PURI SE RWSS DIVN BBSR,Sarmisthabala Prusty,05-Jul-2025 12:54 PM,05-Jul-2025 01:00 PM,techsummary_532349.pdf (2113.60 KB),Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||EE RWSS Divn Puri,2025_RWSS_111381_1,RWSS DIVISION PURI 30 OF 2024-25,Shifting of Pipeline from HARIPUR to RENCH SQUARE of NIMAPARA Block under Puri District.,1.0,2857260.0,SUSANTA KUMAR NAYAK,INR,"10,071,956",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2858848,BIJAYALAXMI MOHAPATRA,17-Mar-2025 02:05 PM,Rejected-Technical,"Non submission of work experience certificate, No UDIN no. of CA in abstract page of turn over certificate",05-Jul-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2854294,CHINTAMANI KUNDA,16-Mar-2025 09:51 PM,Rejected-Technical,"Affidavit not having even a single PWS Scheme work, providing false representation in the forms, statements etc.",05-Jul-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2849605,KSHETRAMOHAN RANA,17-Mar-2025 04:56 PM,Rejected-Finance,As 1st. successful Lottery winner is accepted hence others are considered as rejected.,09-Aug-2025 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2855674,KSHIROD BEHURA,16-Mar-2025 04:37 PM,Rejected-Finance,As 1st. successful Lottery winner is accepted hence others are considered as rejected.,09-Aug-2025 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,2859031,KSHIROD CHANDRA PRADHAN,17-Mar-2025 03:48 PM,Rejected-Finance,As 1st. successful Lottery winner is accepted hence others are considered as rejected.,09-Aug-2025 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,2858985,MONALISA DAS,17-Mar-2025 02:42 PM,Rejected-Technical,Disqualified due to non submission of work experience certificate etc.,05-Jul-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,2858016,M/S HARA ENGINEERING WORKS,17-Mar-2025 12:11 PM,Rejected-Technical,"Disqualified due to non submission of wanting documents (work experience certificate in specified format) during the stipulated period as per section-I, E, clause 26.2(ii) of DTCN",05-Jul-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,2857896,SANGRAM SWAIN,17-Mar-2025 10:31 AM,Rejected-Finance,As 1st. successful Lottery winner is accepted hence others are considered as rejected.,09-Aug-2025 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,2855735,Sarat Chandra Pradhan,15-Mar-2025 05:56 PM,Rejected-Finance,As 1st. successful Lottery winner is accepted hence others are considered as rejected.,09-Aug-2025 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
