Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
07-May-2025 11:00 AM,26-May-2025 11:00 AM,07-May-2025 11:00 AM,23-May-2025 05:00 PM,NA ,NA ,07-May-2025 11:00 AM,23-May-2025 05:00 PM,1.0,ICICI BANK,"27,045",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,AS PER DTCN,CONSTRUCTION OF OFFICE BUILDING AND 50MT GODOWN AT BAHARANA PACS OF NIALI BLOCK UNDER RMC KENDUPATNA,CONSTRUCTION OF OFFICE BUILDING AND 50MT GODOWN AT BAHARANA PACS OF NIALI BLOCK UNDER RMC KENDUPATNA,Please refer Tender documents. ,NA ,"27,04,487",Civil Works - Buildings,NA ,Tender,60.0,NA ,RMC KENDUPATNA,754202.0,NA ,NA ,NA ,O/O SUB-COLLECTOR SADAR,No ,No,"SUBCOLLECTOR,SADAR-CUM-CHAIRMAN RMC KENDUPATNA",SALIPUR CUTTACK,"6,000",Nil,Nil,Yes,Odisha State Agricultural Marketing Board||RMC Kendupatna,02 OF 2025-26,2025_OSAMB_113169_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CHAIRMAN-CUM-SUBCOLECTOR,Internal,AEEJEARCSSECRETARY,Dibyajyoti Smruti Ranjan Deo,04-Jul-2025 11:31 AM,finsummary_538678.pdf (324.44 KB),Odisha State Agricultural Marketing Board||RMC Kendupatna,2025_OSAMB_113169_3,02 OF 2025-26,CONSTRUCTION OF OFFICE BUILDING AND 50MT GODOWN AT BAHARANA PACS OF NIALI BLOCK UNDER RMC KENDUPATNA,1.0,2925465.0,UPENDRA BARAL,INR,"2,299,065",Finance,bid opened for scrutiny,Dibyajyoti Smruti Ranjan Deo,12-Jun-2025 11:22 AM,,BOQ Comparative Chart,1,2928800,Axis India,22-May-2025 04:09 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,01-Aug-2025,"INR 2,299,065",60.0,Dibyajyoti Smruti Ranjan Deo,01-Aug-2025 08:51 PM,5NIALIBLOCK.pdf (519.00 KB),CHAIRMAN-CUM-SUBCOOLECTOR,Internal,AEEJESECRETARY,Dibyajyoti Smruti Ranjan Deo,13-Jun-2025 10:00 PM,techsummary_538678.pdf (597.29 KB),AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2928554,BINAYA KUMAR JENA,22-May-2025 01:34 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2930257,DURGABATI PRADHAN,23-May-2025 04:39 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2929045,JAGADISH MALLICK,22-May-2025 06:24 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2930264,Mihir kumar Biswal,23-May-2025 04:41 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2930159,NIBEDITA MOHAPATRA,23-May-2025 03:34 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2927531,PRABINA KUMAR SAMAL,21-May-2025 03:54 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2930218,RASHMI RANJAN SWAIN,23-May-2025 04:18 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2930277,RUNNER INFRASTRUCTURE,23-May-2025 04:51 PM,Rejected-AOC,reject,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2925465,UPENDRA BARAL,22-May-2025 10:37 AM,Accepted-AOC,work order issued,01-Aug-2025 08:51 PM,,,,,,,,,,,,,AOC
