EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"34,592",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"Construction of Paver Block Road From 1- Kudopali water supply road, 2- dandeipali village road, 3- Siba pradhan house to Bhagirathi Khadia house at Themra W.No.39 under SMC Sambalpur.","Construction of Paver Block Road From 1- Kudopali water supply road, 2- dandeipali village road, 3- Siba pradhan house to Bhagirathi Khadia house at Themra W.No.39 under SMC Sambalpur.",Please refer Tender documents. ,NA ,"34,59,231",Civil Works - Others,NA ,Tender,90.0,60.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,"SAMBALPUR MUNICIPAL CORPORATION, SAMBALPUR",No ,No,"COMMISSIONER, SMC, SAMBALPUR","New Office Building, SMC Durgapali, Sambalpur 768006",1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN",Municipal Bodies||Sambalpur Municipal Corporation,16/SMC_SBP/2023-24,2023_ORULB_94601_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,22-Sep-2023 11:00 AM,07-Oct-2023 11:00 AM,22-Sep-2023 11:00 AM,06-Oct-2023 05:00 PM,NA ,NA ,22-Sep-2023 11:00 AM,06-Oct-2023 05:00 PM,AOC,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,25-Aug-2025 11:48 AM,finsummary_463040.pdf (910.64 KB),Municipal Bodies||Sambalpur Municipal Corporation,2023_ORULB_94601_39,16/SMC_SBP/2023-24,"Construction of Paver Block Road From 1- Kudopali water supply road, 2- dandeipali village road, 3- Siba pradhan house to Bhagirathi Khadia house at Themra W.No.39 under SMC Sambalpur.",1.0,2279897.0,BIMAL MAHAPATRA,INR,"3,459,231.26",Finance,"After opening of bid in online it is found that 11 no bidders participated for this work. But M/S Maruti Construction has not deposited required EMD as per NIT , hence bid submitted by him rejected .",Dhananjaya Panda,11-Oct-2023 10:40 PM,finance_463040.pdf,BOQ Comparative Chart,25-Aug-2025,"INR 3,459,231.26",60.0,PADMINI MEHER,25-Aug-2025 11:50 AM,16SMC39.pdf (911.00 KB),SUCCESSFUL,1,2280911,AADVIK BUILDCON,06-Oct-2023 03:27 PM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,25-Aug-2025 11:45 AM,techsummary_463040.pdf (910.64 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,bill of quantity,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2280214,ABHILASH BEHERA,06-Oct-2023 04:02 AM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2279897,BIMAL MAHAPATRA,05-Oct-2023 06:57 PM,Accepted-AOC,SUCCESSFUL,25-Aug-2025 11:50 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2279685,DHANANJAYA NAG,05-Oct-2023 03:44 PM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2280885,MARUTI CONSTRUCTIONS,06-Oct-2023 03:11 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-After opening of bid in online it is found that 11 no bidders participated for this work. But M/S Maruti Construction has not deposited required EMD as per NIT , hence bid submitted by him rejected .",11-Oct-2023 10:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2279063,PADMINI SINGH,04-Oct-2023 09:12 PM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2280221,PRABODH KUMAR PATI,06-Oct-2023 03:36 AM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2277301,RAJAT KUMAR KAR,06-Oct-2023 01:30 AM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2280518,SANJAY KUMAR PRADHAN,06-Oct-2023 04:42 PM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2280210,SOUMYAKANTA SAHU,06-Oct-2023 04:29 AM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2275199,TIRUMALA TRADERS PROP-CH SRINU,05-Oct-2023 08:45 PM,Rejected-Technical,UNSUCCESSFUL,25-Aug-2025 11:45 AM,,,,,,,AOC
